"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
8 -3.40000e+01
44 -3.30000e+01
125 -3.20000e+01
184 -3.10000e+01
202 -3.00000e+01
309 -2.90000e+01
324 -2.80000e+01
342 -2.70000e+01
424 -2.60000e+01
462 -2.50000e+01
483 -2.40000e+01
708 -2.30000e+01
726 -2.20000e+01
762 -2.10000e+01
857 -2.00000e+01
880 -1.90000e+01
927 -1.80000e+01
1050 -1.70000e+01
1073 -1.60000e+01
1190 -1.50000e+01
1192 -1.40000e+01
1320 -1.30000e+01
1439 -1.20000e+01
1541 -1.10000e+01
1602 -1.00000e+01
1668 -9.00000e+00
1841 -8.00000e+00
2019 -7.00000e+00
2038 -6.00000e+00
2154 -5.00000e+00
2258 -4.00000e+00
2341 -3.00000e+00
3083 -2.00000e+00
3150 -1.00000e+00
3312 +3.55000e+02
3520 +3.56000e+02
3577 +3.78000e+02
3804 +3.80000e+02
3839 +3.81000e+02
4069 +3.97000e+02
4178 +3.99000e+02
4679 +4.08000e+02
5470 +4.09000e+02
5534 +4.12000e+02
6630 +4.17000e+02
8247 +4.21000e+02
9981 +4.21000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
2 -3.40000e+01
79 -3.30000e+01
96 -3.20000e+01
251 -3.10000e+01
274 -3.00000e+01
299 -2.90000e+01
449 -2.80000e+01
478 -2.70000e+01
568 -2.60000e+01
647 -2.50000e+01
709 -2.40000e+01
807 -2.30000e+01
856 -2.20000e+01
928 -2.10000e+01
966 -2.00000e+01
1057 -1.90000e+01
1094 -1.80000e+01
1108 -1.70000e+01
1122 -1.60000e+01
1238 -1.50000e+01
1353 -1.40000e+01
1479 -1.30000e+01
1535 -1.20000e+01
1542 -1.10000e+01
1547 -1.00000e+01
1763 -9.00000e+00
1787 -8.00000e+00
1970 -7.00000e+00
2065 -6.00000e+00
2099 -5.00000e+00
2255 -4.00000e+00
2504 -3.00000e+00
2613 -2.00000e+00
2880 -1.00000e+00
2970 +3.61000e+02
3172 +3.75000e+02
3512 +3.77000e+02
3891 +3.80000e+02
4000 +3.81000e+02
4012 +3.87000e+02
4330 +3.90000e+02
4498 +3.99000e+02
4649 +4.02000e+02
4676 +4.03000e+02
4957 +4.07000e+02
5359 +4.12000e+02
6967 +4.14000e+02
9485 +4.16000e+02
9981 +4.16000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
17 -3.40000e+01
35 -3.30000e+01
44 -3.20000e+01
64 -3.10000e+01
114 -3.00000e+01
237 -2.90000e+01
304 -2.80000e+01
343 -2.70000e+01
501 -2.50000e+01
569 -2.40000e+01
669 -2.30000e+01
787 -2.20000e+01
884 -2.10000e+01
957 -2.00000e+01
1067 -1.90000e+01
1141 -1.80000e+01
1144 -1.70000e+01
1253 -1.60000e+01
1299 -1.50000e+01
1352 -1.40000e+01
1380 -1.30000e+01
1413 -1.20000e+01
1448 -1.10000e+01
1513 -1.00000e+01
1545 -9.00000e+00
1748 -8.00000e+00
1889 -7.00000e+00
2061 -6.00000e+00
2095 -5.00000e+00
2246 -4.00000e+00
2271 -3.00000e+00
2361 -2.00000e+00
2612 -1.00000e+00
2665 +3.70000e+02
2697 +3.74000e+02
2932 +3.80000e+02
3179 +3.89000e+02
4106 +3.92000e+02
4180 +3.99000e+02
4599 +4.05000e+02
5558 +4.07000e+02
5568 +4.11000e+02
5764 +4.13000e+02
5944 +4.16000e+02
6612 +4.19000e+02
8763 +4.20000e+02
9981 +4.20000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
34 -3.40000e+01
52 -3.30000e+01
70 -3.20000e+01
143 -3.10000e+01
164 -3.00000e+01
214 -2.90000e+01
250 -2.80000e+01
269 -2.70000e+01
289 -2.60000e+01
371 -2.50000e+01
488 -2.40000e+01
572 -2.30000e+01
647 -2.20000e+01
704 -2.10000e+01
729 -2.00000e+01
845 -1.90000e+01
988 -1.80000e+01
1218 -1.70000e+01
1242 -1.60000e+01
1252 -1.50000e+01
1269 -1.40000e+01
1463 -1.30000e+01
1622 -1.20000e+01
1669 -1.10000e+01
1760 -1.00000e+01
1851 -9.00000e+00
1909 -8.00000e+00
1991 -7.00000e+00
2072 -6.00000e+00
2350 -5.00000e+00
2550 -4.00000e+00
2733 -3.00000e+00
2846 -2.00000e+00
2855 -1.00000e+00
3294 +3.67000e+02
3352 +3.79000e+02
3451 +3.81000e+02
3479 +3.89000e+02
3540 +4.01000e+02
5007 +4.02000e+02
5955 +4.07000e+02
6564 +4.08000e+02
6747 +4.09000e+02
8615 +4.16000e+02
9504 +4.21000e+02
9981 +4.21000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
35 -3.40000e+01
55 -3.30000e+01
122 -3.20000e+01
216 -3.10000e+01
229 -3.00000e+01
288 -2.90000e+01
383 -2.80000e+01
457 -2.70000e+01
483 -2.60000e+01
543 -2.50000e+01
570 -2.40000e+01
605 -2.30000e+01
715 -2.20000e+01
849 -2.10000e+01
893 -2.00000e+01
908 -1.80000e+01
1248 -1.70000e+01
1582 -1.60000e+01
1657 -1.50000e+01
1765 -1.40000e+01
1860 -1.30000e+01
1978 -1.20000e+01
2058 -1.10000e+01
2066 -9.00000e+00
2108 -8.00000e+00
2526 -7.00000e+00
2676 -6.00000e+00
2763 -5.00000e+00
2920 -4.00000e+00
3093 -3.00000e+00
3111 -2.00000e+00
3250 -1.00000e+00
3502 +3.66000e+02
3561 +3.74000e+02
3567 +3.76000e+02
3586 +3.82000e+02
3866 +3.84000e+02
3938 +3.95000e+02
4452 +3.99000e+02
4593 +4.01000e+02
4957 +4.02000e+02
5046 +4.03000e+02
5599 +4.04000e+02
6116 +4.05000e+02
6181 +4.12000e+02
6337 +4.15000e+02
6412 +4.18000e+02
6424 +4.24000e+02
9624 +4.26000e+02
9679 +4.27000e+02
9720 +4.32000e+02
9875 +4.35000e+02
9981 +4.35000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
23 -3.40000e+01
80 -3.30000e+01
122 -3.20000e+01
164 -3.10000e+01
208 -3.00000e+01
262 -2.90000e+01
335 -2.80000e+01
363 -2.70000e+01
392 -2.60000e+01
736 -2.50000e+01
850 -2.40000e+01
978 -2.30000e+01
1027 -2.20000e+01
1099 -2.10000e+01
1105 -2.00000e+01
1148 -1.90000e+01
1237 -1.80000e+01
1280 -1.70000e+01
1295 -1.60000e+01
1338 -1.50000e+01
1648 -1.30000e+01
1743 -1.20000e+01
1857 -1.10000e+01
1909 -1.00000e+01
1929 -8.00000e+00
2026 -7.00000e+00
2185 -6.00000e+00
2235 -5.00000e+00
2414 -4.00000e+00
2475 -3.00000e+00
2583 -2.00000e+00
2607 -1.00000e+00
2823 +3.80000e+02
3363 +3.87000e+02
3568 +3.96000e+02
3695 +3.98000e+02
3957 +4.08000e+02
5436 +4.10000e+02
5494 +4.15000e+02
5786 +4.17000e+02
6201 +4.18000e+02
8711 +4.21000e+02
9981 +4.21000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
44 -3.40000e+01
56 -3.30000e+01
88 -3.20000e+01
160 -3.10000e+01
215 -3.00000e+01
281 -2.90000e+01
296 -2.80000e+01
413 -2.70000e+01
463 -2.60000e+01
498 -2.50000e+01
626 -2.40000e+01
661 -2.30000e+01
759 -2.20000e+01
804 -2.10000e+01
951 -2.00000e+01
1042 -1.90000e+01
1092 -1.80000e+01
1330 -1.70000e+01
1389 -1.60000e+01
1456 -1.50000e+01
1566 -1.40000e+01
1788 -1.30000e+01
1814 -1.20000e+01
1918 -1.10000e+01
2038 -1.00000e+01
2113 -9.00000e+00
2175 -8.00000e+00
2356 -7.00000e+00
2382 -6.00000e+00
2446 -5.00000e+00
2471 -4.00000e+00
2589 -3.00000e+00
2703 -2.00000e+00
2803 -1.00000e+00
2976 +3.59000e+02
3025 +3.73000e+02
3291 +3.85000e+02
3454 +3.88000e+02
4144 +3.92000e+02
5320 +3.97000e+02
5360 +4.01000e+02
5583 +4.02000e+02
5932 +4.03000e+02
6062 +4.07000e+02
6187 +4.09000e+02
6644 +4.11000e+02
8313 +4.12000e+02
9011 +4.18000e+02
9981 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
3 -3.40000e+01
36 -3.30000e+01
67 -3.20000e+01
132 -3.10000e+01
209 -3.00000e+01
236 -2.90000e+01
