"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
9 -3.40000e+01
37 -3.30000e+01
77 -3.20000e+01
102 -3.10000e+01
267 -3.00000e+01
311 -2.90000e+01
388 -2.80000e+01
396 -2.70000e+01
435 -2.60000e+01
452 -2.50000e+01
463 -2.40000e+01
505 -2.30000e+01
524 -2.20000e+01
639 -2.10000e+01
645 -2.00000e+01
674 -1.90000e+01
706 -1.80000e+01
782 -1.70000e+01
796 -1.50000e+01
808 -1.40000e+01
853 -1.30000e+01
896 -1.20000e+01
913 -1.10000e+01
981 -1.00000e+01
1202 -9.00000e+00
1282 -8.00000e+00
1363 -7.00000e+00
1467 -6.00000e+00
1540 -5.00000e+00
1586 -4.00000e+00
1644 -3.00000e+00
1842 -2.00000e+00
2035 -1.00000e+00
2088 +3.47000e+02
2095 +3.58000e+02
2643 +3.67000e+02
2845 +3.70000e+02
2856 +3.82000e+02
3548 +3.83000e+02
3552 +3.86000e+02
3576 +3.94000e+02
4310 +3.96000e+02
4842 +3.97000e+02
4941 +4.02000e+02
5143 +4.15000e+02
5812 +4.20000e+02
9234 +4.27000e+02
9991 +4.27000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
17 -3.40000e+01
26 -3.30000e+01
67 -3.20000e+01
110 -3.10000e+01
147 -3.00000e+01
158 -2.80000e+01
172 -2.70000e+01
204 -2.60000e+01
233 -2.50000e+01
346 -2.30000e+01
402 -2.20000e+01
468 -2.10000e+01
507 -2.00000e+01
522 -1.90000e+01
524 -1.80000e+01
545 -1.70000e+01
568 -1.60000e+01
609 -1.50000e+01
718 -1.40000e+01
869 -1.30000e+01
883 -1.20000e+01
931 -1.10000e+01
987 -1.00000e+01
1003 -9.00000e+00
1226 -8.00000e+00
1256 -7.00000e+00
1373 -6.00000e+00
1739 -5.00000e+00
1870 -4.00000e+00
1928 -3.00000e+00
1948 -2.00000e+00
2255 -1.00000e+00
2289 +3.63000e+02
2735 +3.75000e+02
3093 +3.77000e+02
3258 +3.83000e+02
3479 +3.89000e+02
3641 +3.91000e+02
4041 +4.01000e+02
5595 +4.05000e+02
6475 +4.08000e+02
8220 +4.11000e+02
8338 +4.13000e+02
8376 +4.15000e+02
9991 +4.15000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
20 -3.40000e+01
37 -3.30000e+01
65 -3.20000e+01
87 -3.10000e+01
91 -3.00000e+01
125 -2.90000e+01
159 -2.80000e+01
198 -2.70000e+01
232 -2.60000e+01
288 -2.50000e+01
319 -2.40000e+01
345 -2.30000e+01
358 -2.20000e+01
408 -2.10000e+01
413 -2.00000e+01
536 -1.90000e+01
549 -1.80000e+01
550 -1.70000e+01
554 -1.60000e+01
581 -1.50000e+01
649 -1.40000e+01
769 -1.30000e+01
839 -1.20000e+01
859 -1.10000e+01
903 -1.00000e+01
931 -9.00000e+00
948 -8.00000e+00
1329 -7.00000e+00
1389 -6.00000e+00
1601 -5.00000e+00
1996 -4.00000e+00
2090 -3.00000e+00
2172 -2.00000e+00
2336 -1.00000e+00
2452 +3.80000e+02
2516 +3.87000e+02
2733 +3.90000e+02
2862 +3.92000e+02
3319 +4.00000e+02
3778 +4.02000e+02
5417 +4.04000e+02
6541 +4.06000e+02
7406 +4.07000e+02
7614 +4.10000e+02
8137 +4.18000e+02
9991 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
42 -3.40000e+01
95 -3.30000e+01
115 -3.20000e+01
133 -3.10000e+01
164 -3.00000e+01
213 -2.90000e+01
272 -2.80000e+01
288 -2.70000e+01
342 -2.60000e+01
358 -2.50000e+01
392 -2.40000e+01
407 -2.30000e+01
429 -2.20000e+01
512 -2.10000e+01
531 -2.00000e+01
535 -1.90000e+01
572 -1.80000e+01
634 -1.70000e+01
648 -1.60000e+01
707 -1.50000e+01
783 -1.40000e+01
815 -1.30000e+01
879 -1.20000e+01
937 -1.10000e+01
993 -1.00000e+01
1115 -9.00000e+00
1130 -8.00000e+00
1222 -7.00000e+00
1310 -6.00000e+00
1330 -5.00000e+00
1369 -4.00000e+00
1524 -2.00000e+00
1573 -1.00000e+00
1686 +3.52000e+02
1994 +3.55000e+02
2178 +3.64000e+02
2330 +3.81000e+02
2460 +3.83000e+02
2992 +3.87000e+02
3137 +3.93000e+02
3573 +3.94000e+02
4103 +3.96000e+02
4124 +3.98000e+02
4462 +4.11000e+02
5405 +4.16000e+02
9949 +4.21000e+02
9991 +4.21000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
9 -3.40000e+01
57 -3.30000e+01
74 -3.20000e+01
132 -3.10000e+01
161 -3.00000e+01
245 -2.90000e+01
302 -2.80000e+01
332 -2.70000e+01
393 -2.60000e+01
399 -2.50000e+01
450 -2.40000e+01
471 -2.30000e+01
486 -2.20000e+01
546 -2.10000e+01
568 -2.00000e+01
581 -1.90000e+01
620 -1.80000e+01
640 -1.70000e+01
663 -1.60000e+01
686 -1.50000e+01
789 -1.40000e+01
866 -1.30000e+01
983 -1.20000e+01
1046 -1.10000e+01
1088 -9.00000e+00
1116 -8.00000e+00
1120 -7.00000e+00
1312 -6.00000e+00
1343 -5.00000e+00
1350 -4.00000e+00
1486 -3.00000e+00
1508 -2.00000e+00
1513 -1.00000e+00
1537 +3.48000e+02
1951 +3.63000e+02
2179 +3.73000e+02
2273 +3.82000e+02
2435 +3.84000e+02
3205 +3.87000e+02
3842 +3.89000e+02
4113 +3.93000e+02
4571 +3.95000e+02
4915 +4.01000e+02
5243 +4.05000e+02
6045 +4.07000e+02
7340 +4.09000e+02
7418 +4.13000e+02
9405 +4.16000e+02
9613 +4.17000e+02
9991 +4.17000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
37 -3.40000e+01
44 -3.30000e+01
51 -3.10000e+01
73 -3.00000e+01
100 -2.90000e+01
182 -2.80000e+01
185 -2.70000e+01
207 -2.60000e+01
247 -2.50000e+01
319 -2.40000e+01
343 -2.30000e+01
414 -2.20000e+01
470 -2.10000e+01
486 -2.00000e+01
534 -1.90000e+01
600 -1.80000e+01
604 -1.70000e+01
641 -1.60000e+01
747 -1.50000e+01
881 -1.40000e+01
889 -1.30000e+01
997 -1.20000e+01
1129 -1.10000e+01
1314 -1.00000e+01
1341 -9.00000e+00
1393 -8.00000e+00
1424 -7.00000e+00
1432 -6.00000e+00
1485 -5.00000e+00
1807 -4.00000e+00
1934 -3.00000e+00
2349 -2.00000e+00
2419 -1.00000e+00
2525 +3.51000e+02
2687 +3.53000e+02
2765 +3.71000e+02
3064 +3.85000e+02
3282 +3.86000e+02
3791 +3.88000e+02
3802 +3.93000e+02
4145 +4.01000e+02
4634 +4.03000e+02
4688 +4.04000e+02
4949 +4.09000e+02
5047 +4.12000e+02
5789 +4.18000e+02
6054 +4.19000e+02
7702 +4.22000e+02
9283 +4.23000e+02
9991 +4.23000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
27 -3.40000e+01
65 -3.30000e+01
86 -3.20000e+01
121 -3.10000e+01
126 -3.00000e+01
178 -2.90000e+01
215 -2.80000e+01
216 -2.70000e+01
225 -2.60000e+01
250 -2.50000e+01
441 -2.40000e+01
536 -2.30000e+01
639 -2.20000e+01
654 -2.10000e+01
656 -2.00000e+01
666 -1.90000e+01
703 -1.80000e+01
750 -1.70000e+01
818 -1.60000e+01
847 -1.50000e+01
873 -1.40000e+01
958 -1.30000e+01
994 -1.20000e+01
1033 -1.10000e+01
1114 -1.00000e+01
1176 -9.00000e+00
1231 -8.00000e+00
1269 -7.00000e+00
1376 -6.00000e+00
1414 -5.00000e+00
1677 -4.00000e+00
1797 -3.00000e+00
1817 -2.00000e+00
1850 -1.00000e+00
1924 +3.57000e+02
1929 +3.63000e+02
1932 +3.72000e+02
2215 +3.74000e+02
2689 +3.82000e+02
2713 +3.83000e+02
2739 +3.84000e+02
3614 +3.87000e+02
3710 +3.88000e+02
3917 +3.91000e+02
3969 +3.94000e+02
4433 +3.99000e+02
7963 +4.00000e+02
8018 +4.04000e+02
8728 +4.09000e+02
9991 +4.09000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
3 -3.40000e+01
39 -3.30000e+01
79 -3.20000e+01
102 -3.00000e+01
108 -2.90000e+01
160 -2.80000e+01
175 -2.70000e+01
218 -2.60000e+01
318 -2.50000e+01
340 -2.40000e+01
377 -2.30000e+01
472 -2.20000e+01
558 -2.10000e+01
579 -1.90000e+01
617 -1.80000e+01
646 -1.70000e+01
663 -1.60000e+01
696 -1.50000e+01
814 -1.40000e+01
901 -1.30000e+01
957 -1.20000e+01
976 -1.10000e+01
980 -1.00000e+01
1006 -9.00000e+00
1188 -8.00000e+00
1208 -7.00000e+00
1216 -6.00000e+00
1460 -5.00000e+00
1502 -4.00000e+00
1619 -3.00000e+00
1822 -2.00000e+00
1845 -1.00000e+00
1976 +3.67000e+02
2000 +3.71000e+02
2509 +3.76000e+02
2546 +3.80000e+02
2624 +3.87000e+02
2768 +3.90000e+02
3417 +3.93000e+02
3770 +4.00000e+02
4099 +4.01000e+02
4932 +4.08000e+02
6561 +4.11000e+02
8344 +4.16000e+02
9991 +4.16000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
