"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
38 -3.40000e+01
52 -3.20000e+01
239 -3.10000e+01
244 -3.00000e+01
328 -2.90000e+01
412 -2.80000e+01
416 -2.70000e+01
469 -2.60000e+01
536 -2.50000e+01
558 -2.40000e+01
639 -2.30000e+01
779 -2.20000e+01
791 -2.10000e+01
814 -2.00000e+01
984 -1.90000e+01
1103 -1.80000e+01
1119 -1.70000e+01
1165 -1.60000e+01
1203 -1.50000e+01
1519 -1.40000e+01
1616 -1.30000e+01
1703 -1.20000e+01
1709 -1.10000e+01
2598 -1.00000e+01
3031 -9.00000e+00
3079 -8.00000e+00
3223 -7.00000e+00
3334 -6.00000e+00
3764 -5.00000e+00
4041 -4.00000e+00
4499 -3.00000e+00
4679 -2.00000e+00
4755 -1.00000e+00
5818 +3.59000e+02
5935 +3.75000e+02
6216 +3.76000e+02
8093 +3.86000e+02
8335 +3.97000e+02
8829 +4.01000e+02
9991 +4.01000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
11 -3.40000e+01
213 -3.30000e+01
252 -3.20000e+01
325 -3.10000e+01
382 -3.00000e+01
498 -2.90000e+01
556 -2.80000e+01
576 -2.70000e+01
590 -2.50000e+01
913 -2.40000e+01
993 -2.30000e+01
1088 -2.20000e+01
1179 -2.10000e+01
1291 -2.00000e+01
1413 -1.90000e+01
1807 -1.80000e+01
1829 -1.70000e+01
1831 -1.60000e+01
1832 -1.40000e+01
1968 -1.30000e+01
2093 -1.20000e+01
2279 -1.10000e+01
2328 -1.00000e+01
2507 -9.00000e+00
2882 -8.00000e+00
3436 -7.00000e+00
4010 -6.00000e+00
4123 -5.00000e+00
4324 -4.00000e+00
4604 -3.00000e+00
4642 -2.00000e+00
4943 -1.00000e+00
4984 +3.37000e+02
5310 +3.40000e+02
5498 +3.66000e+02
5694 +3.75000e+02
5720 +3.89000e+02
6835 +3.99000e+02
7972 +4.07000e+02
8445 +4.15000e+02
8595 +4.18000e+02
9991 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
27 -3.40000e+01
54 -3.30000e+01
92 -3.20000e+01
124 -3.10000e+01
152 -3.00000e+01
369 -2.90000e+01
413 -2.80000e+01
589 -2.70000e+01
619 -2.60000e+01
636 -2.50000e+01
915 -2.40000e+01
925 -2.30000e+01
1037 -2.20000e+01
1203 -2.10000e+01
1450 -2.00000e+01
1546 -1.90000e+01
1748 -1.80000e+01
1918 -1.70000e+01
1927 -1.60000e+01
1957 -1.50000e+01
2071 -1.40000e+01
2190 -1.30000e+01
2357 -1.20000e+01
2395 -1.10000e+01
2730 -1.00000e+01
2921 -9.00000e+00
3037 -8.00000e+00
3301 -7.00000e+00
3515 -6.00000e+00
3591 -5.00000e+00
3699 -4.00000e+00
4222 -3.00000e+00
4403 -2.00000e+00
4427 -1.00000e+00
4676 +3.40000e+02
5172 +3.58000e+02
5371 +3.63000e+02
5756 +3.80000e+02
6217 +3.82000e+02
6927 +3.89000e+02
6951 +4.04000e+02
7912 +4.07000e+02
9604 +4.09000e+02
9991 +4.09000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
47 -3.40000e+01
125 -3.30000e+01
137 -3.20000e+01
176 -3.10000e+01
400 -2.90000e+01
632 -2.80000e+01
644 -2.70000e+01
711 -2.60000e+01
782 -2.50000e+01
807 -2.40000e+01
1119 -2.30000e+01
1205 -2.20000e+01
1315 -2.10000e+01
1398 -2.00000e+01
1430 -1.90000e+01
1431 -1.80000e+01
1504 -1.70000e+01
1565 -1.60000e+01
1617 -1.50000e+01
1695 -1.40000e+01
1961 -1.30000e+01
2274 -1.20000e+01
2372 -1.10000e+01
2539 -1.00000e+01
2553 -8.00000e+00
3131 -7.00000e+00
3454 -6.00000e+00
