"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
52 -3.40000e+01
151 -3.30000e+01
310 -3.20000e+01
456 -3.10000e+01
584 -3.00000e+01
1279 -2.90000e+01
1471 -2.80000e+01
1498 -2.70000e+01
1824 -2.60000e+01
1994 -2.50000e+01
2437 -2.30000e+01
3136 -2.20000e+01
3672 -2.10000e+01
3757 -2.00000e+01
4654 -1.80000e+01
4920 -1.70000e+01
6326 -1.60000e+01
6517 -1.50000e+01
7443 -1.40000e+01
7896 -1.30000e+01
8286 -1.20000e+01
9665 -1.10000e+01
9728 -1.00000e+01
9833 -9.00000e+00
9951 -9.00000e+00
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
11 -3.40000e+01
114 -3.30000e+01
160 -3.20000e+01
287 -3.10000e+01
487 -3.00000e+01
858 -2.90000e+01
1107 -2.80000e+01
1116 -2.70000e+01
1174 -2.60000e+01
1281 -2.50000e+01
1829 -2.40000e+01
2214 -2.30000e+01
2663 -2.20000e+01
2848 -2.10000e+01
5106 -2.00000e+01
5876 -1.90000e+01
6484 -1.80000e+01
7829 -1.70000e+01
8159 -1.60000e+01
8387 -1.50000e+01
8975 -1.40000e+01
9548 -1.30000e+01
9951 -1.30000e+01
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
10 -3.40000e+01
18 -3.30000e+01
140 -3.20000e+01
789 -3.10000e+01
894 -3.00000e+01
1002 -2.90000e+01
1276 -2.80000e+01
1694 -2.60000e+01
2052 -2.50000e+01
2127 -2.40000e+01
2353 -2.30000e+01
2694 -2.20000e+01
3477 -2.10000e+01
3748 -2.00000e+01
4628 -1.90000e+01
4712 -1.80000e+01
5677 -1.70000e+01
6152 -1.60000e+01
6989 -1.50000e+01
7369 -1.40000e+01
7398 -1.30000e+01
8002 -1.20000e+01
9273 -1.10000e+01
9951 -1.10000e+01
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
11 -3.40000e+01
121 -3.30000e+01
257 -3.20000e+01
779 -3.10000e+01
1023 -3.00000e+01
1528 -2.90000e+01
1707 -2.80000e+01
1950 -2.70000e+01
2347 -2.50000e+01
2618 -2.40000e+01
3839 -2.30000e+01
3966 -2.20000e+01
4017 -2.10000e+01
4760 -2.00000e+01
5956 -1.80000e+01
6152 -1.70000e+01
6378 -1.60000e+01
7451 -1.50000e+01
8496 -1.40000e+01
9237 -1.30000e+01
9608 -1.20000e+01
9951 -1.20000e+01
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
43 -3.40000e+01
164 -3.30000e+01
210 -3.20000e+01
907 -3.10000e+01
1136 -3.00000e+01
1380 -2.90000e+01
2028 -2.80000e+01
2421 -2.70000e+01
2517 -2.60000e+01
2861 -2.50000e+01
3277 -2.40000e+01
3335 -2.20000e+01
3338 -2.00000e+01
3623 -1.90000e+01
4201 -1.80000e+01
4428 -1.70000e+01
5809 -1.60000e+01
6247 -1.50000e+01
6272 -1.40000e+01
