"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
9 -3.40000e+01
70 -3.30000e+01
121 -3.10000e+01
136 -3.00000e+01
226 -2.90000e+01
232 -2.80000e+01
266 -2.70000e+01
352 -2.60000e+01
429 -2.50000e+01
559 -2.40000e+01
688 -2.30000e+01
819 -2.20000e+01
830 -2.10000e+01
945 -2.00000e+01
983 -1.90000e+01
994 -1.80000e+01
1058 -1.70000e+01
1110 -1.60000e+01
1215 -1.50000e+01
1320 -1.40000e+01
1536 -1.30000e+01
1585 -1.20000e+01
1613 -1.10000e+01
1823 -1.00000e+01
1846 -9.00000e+00
1941 -8.00000e+00
2080 -7.00000e+00
2138 -6.00000e+00
2242 -5.00000e+00
2441 -4.00000e+00
2478 -3.00000e+00
2537 -2.00000e+00
2786 -1.00000e+00
2837 +3.63000e+02
3107 +3.87000e+02
3838 +3.93000e+02
4434 +3.94000e+02
5290 +3.96000e+02
5506 +3.99000e+02
6297 +4.02000e+02
6364 +4.07000e+02
6872 +4.08000e+02
7955 +4.10000e+02
8299 +4.12000e+02
8355 +4.14000e+02
8456 +4.16000e+02
9711 +4.18000e+02
9981 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
19 -3.40000e+01
66 -3.30000e+01
144 -3.20000e+01
172 -3.10000e+01
210 -3.00000e+01
219 -2.90000e+01
271 -2.80000e+01
275 -2.70000e+01
454 -2.60000e+01
459 -2.50000e+01
627 -2.40000e+01
655 -2.30000e+01
828 -2.20000e+01
870 -2.10000e+01
1094 -2.00000e+01
1128 -1.90000e+01
1234 -1.80000e+01
1262 -1.70000e+01
1288 -1.60000e+01
1597 -1.50000e+01
1655 -1.40000e+01
1785 -1.30000e+01
1836 -1.10000e+01
2020 -1.00000e+01
2066 -9.00000e+00
2140 -8.00000e+00
2181 -7.00000e+00
2233 -6.00000e+00
2368 -5.00000e+00
2766 -4.00000e+00
2861 -2.00000e+00
2911 -1.00000e+00
2953 +3.71000e+02
3041 +3.75000e+02
3360 +3.77000e+02
3473 +3.80000e+02
3499 +3.81000e+02
3739 +3.82000e+02
3920 +4.05000e+02
5413 +4.12000e+02
5713 +4.15000e+02
6180 +4.23000e+02
9302 +4.24000e+02
9981 +4.24000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
26 -3.40000e+01
42 -3.30000e+01
143 -3.20000e+01
166 -3.10000e+01
188 -3.00000e+01
271 -2.90000e+01
284 -2.80000e+01
334 -2.70000e+01
423 -2.50000e+01
488 -2.40000e+01
514 -2.30000e+01
531 -2.20000e+01
554 -2.10000e+01
663 -2.00000e+01
702 -1.90000e+01
804 -1.80000e+01
815 -1.70000e+01
996 -1.60000e+01
1052 -1.50000e+01
1077 -1.40000e+01
1160 -1.30000e+01
1183 -1.20000e+01
1332 -1.10000e+01
1440 -1.00000e+01
1491 -9.00000e+00
1522 -8.00000e+00
1545 -7.00000e+00
1636 -6.00000e+00
1871 -5.00000e+00
1967 -4.00000e+00
2374 -3.00000e+00
2427 -2.00000e+00
2445 -1.00000e+00
2758 +3.76000e+02
2795 +3.98000e+02
2865 +4.08000e+02
4541 +4.17000e+02
5050 +4.18000e+02
6370 +4.20000e+02
8086 +4.24000e+02
8216 +4.28000e+02
9149 +4.30000e+02
9981 +4.30000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
6 -3.40000e+01
11 -3.30000e+01
95 -3.20000e+01
100 -3.10000e+01
211 -3.00000e+01
253 -2.90000e+01
274 -2.80000e+01
326 -2.70000e+01
359 -2.60000e+01
488 -2.50000e+01
651 -2.30000e+01
657 -2.20000e+01
755 -2.10000e+01
884 -2.00000e+01
885 -1.90000e+01
929 -1.80000e+01
971 -1.70000e+01
1091 -1.60000e+01
1321 -1.50000e+01
1490 -1.40000e+01
1533 -1.30000e+01
1624 -1.20000e+01
1719 -1.10000e+01
1829 -1.00000e+01
1891 -9.00000e+00
1909 -8.00000e+00
2067 -7.00000e+00
2099 -6.00000e+00
2110 -5.00000e+00
2262 -4.00000e+00
2490 -3.00000e+00
2553 -2.00000e+00
2856 -1.00000e+00
3244 +3.75000e+02
3255 +3.79000e+02
3358 +3.90000e+02
4060 +3.95000e+02
4174 +4.01000e+02
5674 +4.02000e+02
6339 +4.05000e+02
6354 +4.06000e+02
7877 +4.09000e+02
8120 +4.10000e+02
8846 +4.11000e+02
9138 +4.13000e+02
9281 +4.23000e+02
9981 +4.23000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
34 -3.40000e+01
154 -3.30000e+01
181 -3.20000e+01
285 -3.00000e+01
353 -2.90000e+01
452 -2.80000e+01
502 -2.70000e+01
546 -2.60000e+01
602 -2.50000e+01
683 -2.40000e+01
773 -2.30000e+01
782 -2.20000e+01
864 -2.10000e+01
948 -2.00000e+01
1051 -1.90000e+01
1097 -1.80000e+01
1171 -1.70000e+01
1230 -1.60000e+01
1314 -1.50000e+01
1328 -1.40000e+01
1626 -1.30000e+01
1697 -1.20000e+01
1793 -1.10000e+01
1832 -1.00000e+01
1993 -9.00000e+00
2053 -8.00000e+00
2153 -7.00000e+00
2191 -6.00000e+00
2286 -5.00000e+00
2433 -4.00000e+00
2538 -3.00000e+00
2893 -2.00000e+00
3031 -1.00000e+00
3456 +3.68000e+02
3465 +3.69000e+02
3552 +3.77000e+02
3844 +3.78000e+02
3856 +3.85000e+02
3912 +3.93000e+02
4978 +3.97000e+02
5441 +3.99000e+02
5600 +4.04000e+02
5641 +4.07000e+02
5818 +4.10000e+02
6014 +4.14000e+02
6114 +4.16000e+02
6468 +4.19000e+02
6756 +4.22000e+02
8173 +4.23000e+02
9981 +4.23000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
36 -3.40000e+01
66 -3.30000e+01
112 -3.20000e+01
187 -3.10000e+01
216 -3.00000e+01
306 -2.90000e+01
327 -2.80000e+01
376 -2.70000e+01
383 -2.60000e+01
466 -2.50000e+01
628 -2.30000e+01
655 -2.20000e+01
675 -2.10000e+01
746 -2.00000e+01
795 -1.90000e+01
804 -1.80000e+01
869 -1.70000e+01
1005 -1.60000e+01
1089 -1.50000e+01
1167 -1.40000e+01
1175 -1.30000e+01
1266 -1.20000e+01
1367 -1.10000e+01
1425 -1.00000e+01
1583 -9.00000e+00
1632 -8.00000e+00
1653 -7.00000e+00
1692 -6.00000e+00
2069 -5.00000e+00
2164 -4.00000e+00
2310 -3.00000e+00
2486 -2.00000e+00
2529 -1.00000e+00
2555 +3.58000e+02
2583 +3.73000e+02
2626 +3.78000e+02
2656 +3.93000e+02
2962 +3.97000e+02
3061 +4.02000e+02
3419 +4.03000e+02
3461 +4.08000e+02
4041 +4.11000e+02
5047 +4.13000e+02
5574 +4.15000e+02
6160 +4.18000e+02
9148 +4.21000e+02
9574 +4.24000e+02
9981 +4.24000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
20 -3.40000e+01
50 -3.30000e+01
131 -3.20000e+01
166 -3.10000e+01
250 -3.00000e+01
285 -2.90000e+01
429 -2.80000e+01
439 -2.70000e+01
471 -2.60000e+01
520 -2.50000e+01
578 -2.40000e+01
616 -2.30000e+01
712 -2.20000e+01
792 -2.10000e+01
818 -2.00000e+01
929 -1.90000e+01
1058 -1.80000e+01
1139 -1.70000e+01
1160 -1.60000e+01
1274 -1.50000e+01
1323 -1.40000e+01
1354 -1.30000e+01
1409 -1.20000e+01
1452 -1.10000e+01
1453 -1.00000e+01
1510 -9.00000e+00
1557 -8.00000e+00
1680 -7.00000e+00
1802 -6.00000e+00
2209 -5.00000e+00
2275 -4.00000e+00
2360 -3.00000e+00
2807 -2.00000e+00
2896 -1.00000e+00
2978 +3.34000e+02
3090 +3.60000e+02
3206 +3.66000e+02
3397 +3.82000e+02
3791 +3.93000e+02
3887 +4.01000e+02
4125 +4.09000e+02
4435 +4.15000e+02
9497 +4.16000e+02
9538 +4.20000e+02
9981 +4.20000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
6 -3.40000e+01
10 -3.30000e+01
18 -3.20000e+01
26 -3.10000e+01
29 -3.00000e+01
78 -2.90000e+01
128 -2.80000e+01
177 -2.70000e+01
204 -2.60000e+01
266 -2.50000e+01
293 -2.40000e+01
403 -2.30000e+01
438 -2.20000e+01
490 -2.10000e+01
557 -2.00000e+01
685 -1.90000e+01
734 -1.80000e+01
827 -1.70000e+01
864 -1.60000e+01
908 -1.50000e+01
982 -1.40000e+01
1022 -1.30000e+01
1176 -1.20000e+01
1226 -1.10000e+01
1480 -1.00000e+01
1603 -9.00000e+00
1814 -8.00000e+00
1878 -7.00000e+00
1966 -6.00000e+00
2098 -5.00000e+00
2126 -4.00000e+00
2329 -3.00000e+00
2370 -2.00000e+00
2505 -1.00000e+00
2579 +3.40000e+02
2591 +3.45000e+02
2644 +3.61000e+02
2933 +3.74000e+02
3036 +3.79000e+02
3290 +3.93000e+02
3334 +3.98000e+02
3338 +4.00000e+02
3354 +4.01000e+02
3630 +4.04000e+02
4371 +4.10000e+02
4522 +4.12000e+02
4623 +4.17000e+02
6898 +4.18000e+02
9981 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
25 -3.40000e+01
77 -3.30000e+01
93 -3.20000e+01
