"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
56 -6.50000e+01
244 -6.40000e+01
289 -6.30000e+01
364 -6.20000e+01
983 -6.10000e+01
1496 -6.00000e+01
1510 -5.90000e+01
1523 -5.80000e+01
1729 -5.70000e+01
2729 -5.60000e+01
3277 -5.50000e+01
3707 -5.40000e+01
3784 -5.30000e+01
3795 -5.20000e+01
4268 -5.10000e+01
6165 -5.00000e+01
6224 -4.90000e+01
7093 -4.80000e+01
7141 -4.70000e+01
7265 -4.60000e+01
7840 -4.50000e+01
8406 -4.40000e+01
8746 -4.20000e+01
9899 -4.10000e+01
9948 -4.00000e+01
9951 -4.00000e+01
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
2 -6.50000e+01
136 -6.40000e+01
239 -6.20000e+01
520 -6.00000e+01
991 -5.90000e+01
1424 -5.80000e+01
1688 -5.70000e+01
2833 -5.60000e+01
2959 -5.50000e+01
3006 -5.40000e+01
3573 -5.30000e+01
3724 -5.20000e+01
4724 -5.10000e+01
5600 -5.00000e+01
5813 -4.90000e+01
6417 -4.80000e+01
6726 -4.70000e+01
7658 -4.60000e+01
7915 -4.50000e+01
8034 -4.40000e+01
8739 -4.30000e+01
9041 -4.20000e+01
9557 -4.10000e+01
9852 -4.00000e+01
9951 -4.00000e+01
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
27 -6.50000e+01
57 -6.40000e+01
236 -6.30000e+01
685 -6.20000e+01
833 -6.10000e+01
941 -6.00000e+01
1796 -5.90000e+01
1917 -5.80000e+01
2292 -5.70000e+01
2450 -5.60000e+01
2820 -5.50000e+01
2824 -5.30000e+01
3409 -5.20000e+01
3681 -5.10000e+01
3924 -5.00000e+01
4001 -4.90000e+01
4837 -4.80000e+01
5300 -4.70000e+01
7143 -4.50000e+01
7777 -4.40000e+01
7957 -4.30000e+01
9434 -4.20000e+01
9777 -4.10000e+01
9951 -4.10000e+01
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
3 -6.50000e+01
110 -6.40000e+01
171 -6.20000e+01
224 -6.10000e+01
355 -6.00000e+01
1025 -5.90000e+01
1064 -5.80000e+01
1598 -5.70000e+01
2493 -5.60000e+01
