"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
24 -6.50000e+01
110 -6.40000e+01
157 -6.30000e+01
374 -6.20000e+01
376 -6.10000e+01
497 -6.00000e+01
520 -5.90000e+01
748 -5.80000e+01
829 -5.70000e+01
941 -5.60000e+01
1000 -5.50000e+01
1071 -5.40000e+01
1089 -5.30000e+01
1146 -5.20000e+01
1161 -5.10000e+01
1377 -5.00000e+01
1386 -4.90000e+01
1416 -4.80000e+01
1449 -4.70000e+01
1539 -4.60000e+01
1654 -4.50000e+01
1686 -4.40000e+01
1803 -4.30000e+01
1954 -4.20000e+01
2090 -4.10000e+01
2111 -4.00000e+01
2235 -3.90000e+01
2300 -3.70000e+01
2370 -3.60000e+01
2484 -3.50000e+01
2508 -3.40000e+01
2630 -3.30000e+01
2724 -3.20000e+01
2829 -3.10000e+01
2893 -3.00000e+01
2966 -2.90000e+01
3418 -2.80000e+01
3482 -2.70000e+01
3712 -2.60000e+01
3789 -2.50000e+01
4007 -2.40000e+01
4245 -2.30000e+01
4682 -2.20000e+01
4837 -2.10000e+01
5084 -2.00000e+01
5176 -1.90000e+01
5206 -1.80000e+01
5717 -1.70000e+01
6053 -1.60000e+01
6115 -1.50000e+01
6162 -1.40000e+01
6425 -1.30000e+01
6516 -1.20000e+01
7063 -1.10000e+01
7240 -1.00000e+01
7379 -9.00000e+00
7800 -8.00000e+00
8055 -7.00000e+00
8065 -6.00000e+00
8209 -4.00000e+00
8239 -3.00000e+00
9129 -2.00000e+00
9670 -1.00000e+00
9991 -1.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
10 -6.50000e+01
34 -6.40000e+01
146 -6.30000e+01
225 -6.20000e+01
335 -6.10000e+01
393 -6.00000e+01
527 -5.90000e+01
703 -5.80000e+01
746 -5.70000e+01
831 -5.60000e+01
908 -5.50000e+01
952 -5.40000e+01
1006 -5.30000e+01
1034 -5.20000e+01
1035 -5.10000e+01
1193 -5.00000e+01
1286 -4.90000e+01
1335 -4.80000e+01
1974 -4.70000e+01
2066 -4.60000e+01
2141 -4.50000e+01
2287 -4.40000e+01
2340 -4.30000e+01
2342 -4.20000e+01
2376 -4.10000e+01
2406 -4.00000e+01
2710 -3.90000e+01
2729 -3.80000e+01
2919 -3.70000e+01
3181 -3.60000e+01
3213 -3.50000e+01
3291 -3.40000e+01
3337 -3.30000e+01
3402 -3.20000e+01
3655 -3.10000e+01
3696 -3.00000e+01
4431 -2.90000e+01
4533 -2.80000e+01
5033 -2.70000e+01
5088 -2.60000e+01
5215 -2.50000e+01
5414 -2.40000e+01
5793 -2.30000e+01
5894 -2.20000e+01
6114 -2.10000e+01
6121 -2.00000e+01
6386 -1.90000e+01
6451 -1.80000e+01
6559 -1.70000e+01
6822 -1.60000e+01
7216 -1.50000e+01
7373 -1.40000e+01
7839 -1.30000e+01
7956 -1.20000e+01
8008 -1.10000e+01
8764 -1.00000e+01
8785 -9.00000e+00
8873 -8.00000e+00
8881 -7.00000e+00
8912 -6.00000e+00
9413 -5.00000e+00
9745 -4.00000e+00
9991 -4.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
26 -6.50000e+01
136 -6.40000e+01
145 -6.30000e+01
164 -6.20000e+01
180 -6.10000e+01
492 -6.00000e+01
529 -5.90000e+01
638 -5.80000e+01
670 -5.70000e+01
685 -5.60000e+01
933 -5.50000e+01
934 -5.40000e+01
1048 -5.30000e+01
1355 -5.20000e+01
1397 -5.10000e+01
1434 -5.00000e+01
1464 -4.90000e+01
1522 -4.80000e+01
1725 -4.70000e+01
1869 -4.50000e+01
1957 -4.40000e+01
2080 -4.30000e+01
2086 -4.20000e+01
2411 -4.10000e+01
2810 -4.00000e+01
2868 -3.90000e+01
2972 -3.80000e+01
2981 -3.70000e+01
3033 -3.60000e+01
3035 -3.50000e+01
3150 -3.40000e+01
3166 -3.30000e+01
3240 -3.20000e+01
3283 -3.10000e+01
3352 -3.00000e+01
3732 -2.90000e+01
3774 -2.80000e+01
3981 -2.70000e+01
4191 -2.60000e+01
4244 -2.50000e+01
4297 -2.40000e+01
4779 -2.30000e+01
4959 -2.20000e+01
4999 -2.10000e+01
5160 -2.00000e+01
5174 -1.80000e+01
5339 -1.70000e+01
6534 -1.60000e+01
6947 -1.50000e+01
7208 -1.40000e+01
7373 -1.30000e+01
7376 -1.20000e+01
7456 -1.10000e+01
8596 -1.00000e+01
9079 -9.00000e+00
9227 -8.00000e+00
9991 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
4 -6.50000e+01
47 -6.40000e+01
64 -6.30000e+01
216 -6.20000e+01
285 -6.10000e+01
370 -6.00000e+01
497 -5.90000e+01
523 -5.80000e+01
560 -5.70000e+01
655 -5.60000e+01
774 -5.50000e+01
797 -5.40000e+01
943 -5.30000e+01
980 -5.20000e+01
1030 -5.10000e+01
1254 -5.00000e+01
1556 -4.90000e+01
1583 -4.80000e+01
1615 -4.70000e+01
1679 -4.60000e+01
1986 -4.50000e+01
2262 -4.40000e+01
2484 -4.30000e+01
2760 -4.10000e+01
2925 -4.00000e+01
2979 -3.90000e+01
3206 -3.80000e+01
3230 -3.70000e+01
3444 -3.60000e+01
3684 -3.50000e+01
3725 -3.40000e+01
3747 -3.30000e+01
4053 -3.20000e+01
4093 -3.10000e+01
4270 -3.00000e+01
4282 -2.90000e+01
4362 -2.80000e+01
4398 -2.70000e+01
4426 -2.60000e+01
4703 -2.50000e+01
5008 -2.40000e+01
5027 -2.30000e+01
5096 -2.20000e+01
5139 -2.10000e+01
5239 -2.00000e+01
5322 -1.90000e+01
5384 -1.80000e+01
5838 -1.70000e+01
5936 -1.60000e+01
5985 -1.50000e+01
6137 -1.40000e+01
6481 -1.30000e+01
7989 -1.20000e+01
8102 -1.10000e+01
8791 -1.00000e+01
9582 -9.00000e+00
9756 -8.00000e+00
9991 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
53 -6.50000e+01
193 -6.40000e+01
205 -6.30000e+01
209 -6.20000e+01
236 -6.10000e+01
269 -6.00000e+01
293 -5.90000e+01
333 -5.80000e+01
373 -5.70000e+01
608 -5.60000e+01
629 -5.50000e+01
704 -5.40000e+01
736 -5.30000e+01
834 -5.20000e+01
973 -5.10000e+01
1017 -5.00000e+01
1252 -4.90000e+01
1276 -4.80000e+01
1330 -4.70000e+01
1425 -4.60000e+01
1455 -4.50000e+01
1795 -4.40000e+01
1815 -4.30000e+01
2148 -4.20000e+01
2174 -4.10000e+01
2346 -4.00000e+01
2372 -3.90000e+01
2400 -3.80000e+01
2615 -3.70000e+01
3033 -3.60000e+01
3096 -3.50000e+01
3102 -3.40000e+01
3128 -3.30000e+01
3139 -3.20000e+01
3526 -3.10000e+01
3666 -3.00000e+01
3978 -2.90000e+01
4044 -2.80000e+01
4203 -2.70000e+01
4344 -2.60000e+01
4381 -2.40000e+01
4392 -2.30000e+01
4397 -2.20000e+01
4887 -2.10000e+01
5009 -2.00000e+01
5090 -1.90000e+01
5393 -1.80000e+01
5980 -1.70000e+01
6229 -1.60000e+01
6296 -1.50000e+01
6378 -1.40000e+01
6488 -1.30000e+01
6549 -1.20000e+01
6984 -1.10000e+01
7000 -1.00000e+01
7087 -9.00000e+00
7493 -8.00000e+00
7820 -7.00000e+00
8520 -6.00000e+00
8773 -5.00000e+00
9051 -4.00000e+00
9107 -3.00000e+00
9228 -2.00000e+00
9724 -1.00000e+00
9991 -1.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
54 -6.50000e+01
73 -6.40000e+01
84 -6.30000e+01
178 -6.20000e+01
181 -6.10000e+01
272 -6.00000e+01
293 -5.90000e+01
418 -5.80000e+01
468 -5.70000e+01
568 -5.60000e+01
609 -5.50000e+01
760 -5.40000e+01
761 -5.30000e+01
787 -5.20000e+01
1139 -5.10000e+01
1254 -4.90000e+01
1303 -4.80000e+01
1348 -4.70000e+01
1470 -4.60000e+01
1517 -4.50000e+01
1575 -4.40000e+01
1904 -4.30000e+01
1979 -4.20000e+01
2049 -4.10000e+01
2187 -4.00000e+01
2248 -3.90000e+01
2334 -3.80000e+01
2358 -3.70000e+01
2381 -3.60000e+01
2384 -3.50000e+01
2567 -3.40000e+01
2624 -3.30000e+01
3096 -3.20000e+01
3125 -3.10000e+01
3177 -3.00000e+01
3223 -2.90000e+01
3456 -2.80000e+01
3665 -2.70000e+01
3795 -2.60000e+01
4713 -2.50000e+01
4767 -2.40000e+01
5215 -2.30000e+01
5310 -2.20000e+01
5391 -2.10000e+01
5552 -2.00000e+01
5729 -1.80000e+01
5857 -1.70000e+01
6052 -1.60000e+01
6132 -1.50000e+01
6662 -1.40000e+01
6840 -1.30000e+01
7318 -1.20000e+01
7359 -1.10000e+01
7431 -1.00000e+01
7989 -9.00000e+00
8085 -8.00000e+00
8135 -7.00000e+00
8286 -6.00000e+00
9284 -5.00000e+00
9991 -5.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
24 -6.50000e+01
76 -6.40000e+01
93 -6.30000e+01
185 -6.20000e+01
243 -6.10000e+01
308 -6.00000e+01
353 -5.90000e+01
564 -5.80000e+01
686 -5.70000e+01
718 -5.60000e+01
719 -5.50000e+01
771 -5.40000e+01
864 -5.30000e+01
1116 -5.20000e+01
1311 -5.10000e+01
1335 -5.00000e+01
1488 -4.90000e+01
1499 -4.80000e+01
1560 -4.70000e+01
1567 -4.60000e+01
1707 -4.50000e+01
1831 -4.40000e+01
2218 -4.30000e+01
2413 -4.20000e+01
2507 -4.10000e+01
2532 -4.00000e+01
2957 -3.90000e+01
3123 -3.80000e+01
3531 -3.70000e+01
3591 -3.60000e+01
3710 -3.50000e+01
3937 -3.40000e+01
4001 -3.30000e+01
4581 -3.20000e+01
4679 -3.10000e+01
4814 -3.00000e+01
4945 -2.90000e+01
5054 -2.80000e+01
5088 -2.70000e+01
5126 -2.60000e+01
5237 -2.50000e+01
5239 -2.40000e+01
5265 -2.30000e+01
5478 -2.20000e+01
5862 -2.10000e+01
5867 -2.00000e+01
5913 -1.90000e+01
6100 -1.80000e+01
6169 -1.70000e+01
6756 -1.60000e+01
6988 -1.50000e+01
7420 -1.40000e+01
7822 -1.30000e+01
8589 -1.20000e+01
8711 -1.10000e+01
8734 -1.00000e+01
8884 -9.00000e+00
8971 -8.00000e+00
9089 -7.00000e+00
9526 -6.00000e+00
9853 -5.00000e+00
9991 -5.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
22 -6.50000e+01
60 -6.40000e+01
103 -6.30000e+01
187 -6.20000e+01
261 -6.10000e+01
306 -6.00000e+01
325 -5.90000e+01
431 -5.80000e+01
544 -5.70000e+01
694 -5.60000e+01
795 -5.50000e+01
893 -5.40000e+01
925 -5.30000e+01
960 -5.20000e+01
1014 -5.10000e+01
1255 -5.00000e+01
1300 -4.90000e+01
1315 -4.80000e+01
1696 -4.70000e+01
1750 -4.60000e+01
1757 -4.50000e+01
1770 -4.40000e+01
2169 -4.30000e+01
2239 -4.20000e+01
2302 -4.10000e+01
2309 -4.00000e+01
2421 -3.90000e+01
2514 -3.80000e+01
2811 -3.70000e+01
2814 -3.60000e+01
2850 -3.50000e+01
2979 -3.40000e+01
3027 -3.30000e+01
3267 -3.20000e+01
3292 -3.10000e+01
3339 -3.00000e+01
3667 -2.90000e+01
3929 -2.80000e+01
4283 -2.70000e+01
4549 -2.60000e+01
4844 -2.50000e+01
5104 -2.40000e+01
5185 -2.30000e+01
5464 -2.20000e+01
5485 -2.10000e+01
5661 -2.00000e+01
5793 -1.90000e+01
6046 -1.80000e+01
6073 -1.70000e+01
6379 -1.60000e+01
6989 -1.50000e+01
7369 -1.40000e+01
7575 -1.30000e+01
7682 -1.20000e+01
9058 -1.10000e+01
9096 -1.00000e+01
9165 -9.00000e+00
9256 -8.00000e+00
9323 -7.00000e+00
9512 -6.00000e+00
9699 -5.00000e+00
9821 -4.00000e+00
9991 -4.00000e+00
