evaluations raw_y
1 0.0000000000
2 48.0000000000
3 205.0000000000
9 229.0000000000
19 240.0000000000
21 277.0000000000
34 304.0000000000
37 309.0000000000
43 364.0000000000
45 383.0000000000
46 392.0000000000
62 402.0000000000
68 403.0000000000
120 418.0000000000
310 419.0000000000
385 424.0000000000
497 425.0000000000
1428 428.0000000000
1769 429.0000000000
1908 430.0000000000
2510 431.0000000000
2674 432.0000000000
2859 433.0000000000
4047 434.0000000000
4059 435.0000000000
6745 438.0000000000
7176 439.0000000000
10001 383.0000000000
