evaluations raw_y
1 0.0000000000
3 155.0000000000
5 219.0000000000
7 315.0000000000
21 366.0000000000
24 382.0000000000
58 391.0000000000
105 399.0000000000
128 405.0000000000
164 408.0000000000
250 411.0000000000
276 412.0000000000
393 413.0000000000
395 417.0000000000
404 420.0000000000
824 421.0000000000
923 422.0000000000
936 423.0000000000
1170 427.0000000000
1687 429.0000000000
2235 430.0000000000
3375 434.0000000000
3871 436.0000000000
7312 437.0000000000
7768 439.0000000000
10001 418.0000000000
