"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
6 -4.80000e+01
127 -4.70000e+01
256 -4.60000e+01
365 -4.50000e+01
433 -4.40000e+01
435 -4.30000e+01
501 -4.20000e+01
511 -4.10000e+01
565 -4.00000e+01
656 -3.90000e+01
786 -3.80000e+01
789 -3.70000e+01
806 -3.60000e+01
821 -3.50000e+01
1126 -3.40000e+01
1205 -3.30000e+01
1278 -3.20000e+01
1301 -3.10000e+01
1316 -3.00000e+01
1558 -2.90000e+01
2020 -2.80000e+01
2063 -2.70000e+01
2290 -2.60000e+01
2338 -2.50000e+01
2460 -2.40000e+01
2561 -2.30000e+01
2719 -2.20000e+01
2876 -2.10000e+01
2923 -2.00000e+01
3108 -1.90000e+01
3280 -1.80000e+01
3509 -1.70000e+01
3610 -1.60000e+01
3624 -1.50000e+01
3831 -1.40000e+01
3836 -1.30000e+01
3874 -1.20000e+01
5308 -1.10000e+01
5392 -1.00000e+01
5560 -9.00000e+00
5639 -8.00000e+00
5692 -7.00000e+00
5741 -6.00000e+00
5742 -5.00000e+00
6101 -4.00000e+00
6794 -3.00000e+00
7350 -2.00000e+00
7843 -1.00000e+00
7993 +4.69000e+02
8278 +4.85000e+02
9991 +4.85000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
14 -4.80000e+01
33 -4.70000e+01
71 -4.60000e+01
213 -4.50000e+01
272 -4.40000e+01
294 -4.30000e+01
340 -4.20000e+01
633 -4.10000e+01
920 -4.00000e+01
951 -3.90000e+01
1004 -3.80000e+01
1051 -3.70000e+01
1062 -3.60000e+01
1071 -3.50000e+01
1100 -3.30000e+01
1148 -3.20000e+01
1291 -3.10000e+01
1550 -3.00000e+01
1610 -2.90000e+01
1730 -2.80000e+01
1773 -2.70000e+01
1855 -2.60000e+01
1936 -2.50000e+01
1989 -2.40000e+01
2197 -2.30000e+01
2212 -2.20000e+01
2268 -2.10000e+01
2324 -2.00000e+01
2594 -1.90000e+01
3098 -1.80000e+01
4138 -1.70000e+01
