"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
26 -4.80000e+01
59 -4.70000e+01
84 -4.60000e+01
152 -4.50000e+01
183 -4.40000e+01
234 -4.30000e+01
314 -4.20000e+01
417 -4.10000e+01
434 -4.00000e+01
477 -3.90000e+01
523 -3.80000e+01
645 -3.70000e+01
696 -3.60000e+01
725 -3.50000e+01
803 -3.40000e+01
805 -3.30000e+01
863 -3.20000e+01
876 -3.10000e+01
918 -3.00000e+01
942 -2.90000e+01
980 -2.80000e+01
986 -2.70000e+01
1009 -2.60000e+01
1044 -2.50000e+01
1122 -2.40000e+01
1348 -2.30000e+01
1466 -2.20000e+01
1650 -2.10000e+01
1692 -2.00000e+01
1774 -1.90000e+01
1814 -1.80000e+01
1870 -1.70000e+01
1887 -1.60000e+01
1897 -1.50000e+01
1909 -1.40000e+01
2033 -1.30000e+01
2190 -1.10000e+01
2249 -1.00000e+01
2438 -9.00000e+00
2499 -8.00000e+00
2562 -7.00000e+00
2630 -6.00000e+00
2749 -5.00000e+00
2930 -4.00000e+00
2956 -3.00000e+00
3150 -2.00000e+00
3258 -1.00000e+00
3460 +4.90000e+02
3597 +5.06000e+02
4496 +5.13000e+02
5265 +5.20000e+02
5452 +5.21000e+02
5793 +5.28000e+02
6181 +5.30000e+02
9134 +5.35000e+02
9981 +5.35000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
172 -4.80000e+01
308 -4.70000e+01
333 -4.60000e+01
449 -4.50000e+01
569 -4.40000e+01
602 -4.30000e+01
640 -4.20000e+01
641 -4.10000e+01
653 -4.00000e+01
685 -3.90000e+01
725 -3.80000e+01
807 -3.70000e+01
864 -3.60000e+01
938 -3.50000e+01
957 -3.40000e+01
982 -3.30000e+01
1014 -3.20000e+01
1049 -3.10000e+01
1104 -3.00000e+01
1107 -2.80000e+01
1178 -2.70000e+01
1359 -2.60000e+01
1414 -2.50000e+01
1443 -2.40000e+01
1470 -2.30000e+01
1591 -2.20000e+01
1728 -2.10000e+01
1984 -2.00000e+01
1991 -1.90000e+01
2027 -1.80000e+01
2068 -1.70000e+01
2197 -1.60000e+01
2300 -1.50000e+01
2360 -1.40000e+01
2366 -1.30000e+01
2483 -1.20000e+01
2687 -1.10000e+01
2972 -1.00000e+01
3122 -9.00000e+00
3347 -8.00000e+00
3417 -7.00000e+00
3593 -6.00000e+00
3665 -5.00000e+00
3812 -4.00000e+00
3867 -3.00000e+00
3907 -2.00000e+00
4164 -1.00000e+00
4301 +4.76000e+02
4591 +4.86000e+02
4822 +4.92000e+02
5101 +5.06000e+02
6178 +5.13000e+02
7093 +5.15000e+02
8055 +5.18000e+02
9937 +5.23000e+02
9981 +5.23000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
15 -4.80000e+01
38 -4.70000e+01
60 -4.60000e+01
105 -4.50000e+01
123 -4.40000e+01
186 -4.30000e+01
227 -4.20000e+01
249 -4.10000e+01
275 -4.00000e+01
373 -3.80000e+01
393 -3.70000e+01
437 -3.60000e+01
478 -3.50000e+01
514 -3.40000e+01
539 -3.30000e+01
632 -3.20000e+01
633 -3.10000e+01
699 -3.00000e+01
762 -2.90000e+01
825 -2.80000e+01
866 -2.60000e+01
915 -2.50000e+01
985 -2.40000e+01
1026 -2.30000e+01
1092 -2.20000e+01
1104 -2.10000e+01
1111 -2.00000e+01
1166 -1.90000e+01
1226 -1.80000e+01
1271 -1.70000e+01
1303 -1.60000e+01
1416 -1.50000e+01
1545 -1.40000e+01
1665 -1.30000e+01
1754 -1.20000e+01
1917 -1.10000e+01
2000 -1.00000e+01
2059 -9.00000e+00
2170 -8.00000e+00
2231 -7.00000e+00
2301 -6.00000e+00
2356 -5.00000e+00
2416 -4.00000e+00
2591 -3.00000e+00
2794 -2.00000e+00
2979 -1.00000e+00
3081 +4.71000e+02
3157 +4.84000e+02
3386 +4.86000e+02
3447 +4.94000e+02
3951 +4.97000e+02
4317 +5.07000e+02
5052 +5.08000e+02
5292 +5.16000e+02
5927 +5.17000e+02
7474 +5.24000e+02
7894 +5.31000e+02
9973 +5.32000e+02
9981 +5.32000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
14 -4.80000e+01
31 -4.70000e+01
153 -4.60000e+01
233 -4.50000e+01
280 -4.30000e+01
320 -4.20000e+01
354 -4.10000e+01
381 -4.00000e+01
436 -3.90000e+01
503 -3.80000e+01
541 -3.70000e+01
583 -3.60000e+01
647 -3.50000e+01
738 -3.40000e+01
817 -3.30000e+01
819 -3.20000e+01
868 -3.10000e+01
894 -3.00000e+01
945 -2.90000e+01
971 -2.80000e+01
1016 -2.70000e+01
1074 -2.60000e+01
1173 -2.50000e+01
1203 -2.40000e+01
1305 -2.30000e+01
1374 -2.20000e+01
1399 -2.10000e+01
1481 -2.00000e+01
1522 -1.90000e+01
1653 -1.80000e+01
1740 -1.70000e+01
1860 -1.60000e+01
2206 -1.50000e+01
2253 -1.40000e+01
2306 -1.30000e+01
2465 -1.20000e+01
2553 -1.10000e+01
2666 -1.00000e+01
2872 -9.00000e+00
3107 -8.00000e+00
3120 -7.00000e+00
3141 -6.00000e+00
3323 -5.00000e+00
3438 -4.00000e+00
3838 -2.00000e+00
3976 -1.00000e+00
4269 +4.36000e+02
4288 +4.40000e+02
4600 +4.48000e+02
4686 +4.67000e+02
5144 +4.73000e+02
5649 +4.84000e+02
5741 +4.93000e+02
6143 +4.94000e+02
6355 +5.06000e+02
6642 +5.10000e+02
7453 +5.11000e+02
8027 +5.25000e+02
8096 +5.27000e+02
8280 +5.31000e+02
9103 +5.37000e+02
9981 +5.37000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
14 -4.80000e+01
76 -4.70000e+01
187 -4.60000e+01
210 -4.50000e+01
238 -4.40000e+01
261 -4.30000e+01
336 -4.20000e+01
387 -4.10000e+01
393 -4.00000e+01
433 -3.90000e+01
465 -3.80000e+01
520 -3.70000e+01
570 -3.60000e+01
663 -3.50000e+01
675 -3.40000e+01
722 -3.30000e+01
827 -3.20000e+01
913 -3.10000e+01
958 -3.00000e+01
985 -2.90000e+01
1011 -2.80000e+01
1084 -2.70000e+01
1098 -2.60000e+01
1165 -2.50000e+01
1229 -2.40000e+01
1339 -2.30000e+01
1366 -2.20000e+01
1409 -2.10000e+01
1480 -2.00000e+01
1563 -1.90000e+01
1658 -1.80000e+01
1695 -1.70000e+01
1716 -1.60000e+01
1760 -1.50000e+01
1878 -1.40000e+01
1923 -1.30000e+01
2081 -1.20000e+01
2211 -1.10000e+01
2330 -1.00000e+01
2436 -9.00000e+00
2539 -8.00000e+00
2831 -7.00000e+00
3513 -6.00000e+00
3663 -5.00000e+00
3755 -4.00000e+00
3832 -3.00000e+00
4095 -2.00000e+00
4412 -1.00000e+00
4902 +4.81000e+02
5412 +4.87000e+02
5461 +4.98000e+02
5517 +5.08000e+02
6235 +5.09000e+02
6917 +5.14000e+02
7320 +5.24000e+02
9981 +5.24000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
2 -4.80000e+01
71 -4.70000e+01
160 -4.50000e+01
266 -4.30000e+01
308 -4.20000e+01
378 -4.10000e+01
437 -4.00000e+01
508 -3.80000e+01
550 -3.70000e+01
677 -3.50000e+01
742 -3.40000e+01
783 -3.30000e+01
960 -3.20000e+01
1019 -3.10000e+01
1041 -3.00000e+01
1094 -2.90000e+01
1162 -2.80000e+01
1222 -2.70000e+01
1330 -2.60000e+01
1401 -2.50000e+01
1472 -2.40000e+01
1599 -2.30000e+01
1607 -2.20000e+01
1661 -2.10000e+01
1738 -2.00000e+01
1983 -1.90000e+01
2110 -1.80000e+01
2157 -1.70000e+01
2217 -1.60000e+01
2235 -1.50000e+01
2320 -1.40000e+01
2352 -1.30000e+01
2380 -1.20000e+01
2458 -1.10000e+01
2484 -1.00000e+01
2523 -9.00000e+00
2589 -8.00000e+00
2668 -7.00000e+00
2746 -6.00000e+00
2978 -5.00000e+00
3039 -4.00000e+00
3110 -3.00000e+00
3154 -2.00000e+00
3306 -1.00000e+00
3373 +4.54000e+02
3642 +4.69000e+02
3757 +4.81000e+02
4856 +4.92000e+02
5074 +4.98000e+02
5249 +5.03000e+02
6933 +5.09000e+02
7341 +5.13000e+02
8524 +5.19000e+02
9981 +5.19000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
10 -4.80000e+01
28 -4.70000e+01
124 -4.60000e+01
132 -4.50000e+01
196 -4.40000e+01
199 -4.30000e+01
258 -4.20000e+01
305 -4.10000e+01
316 -4.00000e+01
321 -3.90000e+01
348 -3.80000e+01
431 -3.70000e+01
434 -3.60000e+01
557 -3.50000e+01
560 -3.40000e+01
589 -3.30000e+01
663 -3.20000e+01
762 -3.10000e+01
872 -3.00000e+01
908 -2.90000e+01
1034 -2.70000e+01
1163 -2.60000e+01
1174 -2.50000e+01
1229 -2.40000e+01
1237 -2.30000e+01
1266 -2.20000e+01
1298 -2.10000e+01
1353 -2.00000e+01
1432 -1.90000e+01
1622 -1.80000e+01
1645 -1.70000e+01
1752 -1.60000e+01
1784 -1.50000e+01
1882 -1.40000e+01
1956 -1.30000e+01
1998 -1.20000e+01
2125 -1.10000e+01
2180 -1.00000e+01
2472 -9.00000e+00
2553 -8.00000e+00
2591 -7.00000e+00
2727 -6.00000e+00
2785 -5.00000e+00
2862 -4.00000e+00
2923 -3.00000e+00
3139 -2.00000e+00
3276 -1.00000e+00
3411 +4.79000e+02
3416 +4.90000e+02
3571 +4.94000e+02
3766 +4.99000e+02
4040 +5.01000e+02
4320 +5.03000e+02
5245 +5.07000e+02
5261 +5.09000e+02
5692 +5.15000e+02
5797 +5.16000e+02
6941 +5.17000e+02
7870 +5.25000e+02
7945 +5.26000e+02
9496 +5.28000e+02
9524 +5.30000e+02
9981 +5.30000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
25 -4.80000e+01
47 -4.70000e+01
157 -4.60000e+01
216 -4.50000e+01
272 -4.40000e+01
353 -4.30000e+01
396 -4.20000e+01
403 -4.10000e+01
472 -4.00000e+01
556 -3.90000e+01
601 -3.80000e+01
603 -3.70000e+01
665 -3.60000e+01
685 -3.50000e+01
711 -3.40000e+01
786 -3.30000e+01
821 -3.10000e+01
