"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
24 -4.80000e+01
98 -4.70000e+01
116 -4.60000e+01
128 -4.50000e+01
141 -4.40000e+01
143 -4.30000e+01
196 -4.20000e+01
232 -4.10000e+01
251 -4.00000e+01
258 -3.90000e+01
275 -3.80000e+01
355 -3.70000e+01
403 -3.60000e+01
408 -3.50000e+01
467 -3.40000e+01
532 -3.30000e+01
557 -3.20000e+01
608 -3.10000e+01
612 -3.00000e+01
631 -2.90000e+01
637 -2.80000e+01
642 -2.70000e+01
724 -2.60000e+01
751 -2.50000e+01
754 -2.40000e+01
768 -2.30000e+01
836 -2.20000e+01
998 -2.10000e+01
1021 -2.00000e+01
1038 -1.90000e+01
1110 -1.80000e+01
1126 -1.70000e+01
1249 -1.60000e+01
1488 -1.50000e+01
1598 -1.40000e+01
1696 -1.30000e+01
1833 -1.20000e+01
1919 -1.10000e+01
2071 -1.00000e+01
2097 -9.00000e+00
2147 -8.00000e+00
2386 -7.00000e+00
2431 -6.00000e+00
2519 -5.00000e+00
2565 -4.00000e+00
2601 -3.00000e+00
2752 -2.00000e+00
2823 -1.00000e+00
3208 +4.65000e+02
3654 +4.84000e+02
4316 +4.88000e+02
4754 +4.99000e+02
4780 +5.02000e+02
4784 +5.04000e+02
4917 +5.15000e+02
5344 +5.17000e+02
7379 +5.25000e+02
8537 +5.26000e+02
8629 +5.29000e+02
9234 +5.30000e+02
9991 +5.30000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
23 -4.80000e+01
49 -4.70000e+01
72 -4.60000e+01
121 -4.50000e+01
127 -4.40000e+01
152 -4.30000e+01
211 -4.20000e+01
271 -4.10000e+01
300 -3.90000e+01
348 -3.80000e+01
401 -3.60000e+01
438 -3.50000e+01
440 -3.40000e+01
442 -3.30000e+01
467 -3.20000e+01
515 -3.10000e+01
524 -3.00000e+01
591 -2.90000e+01
598 -2.80000e+01
668 -2.70000e+01
674 -2.60000e+01
708 -2.50000e+01
755 -2.40000e+01
789 -2.30000e+01
797 -2.20000e+01
862 -2.10000e+01
871 -2.00000e+01
906 -1.90000e+01
950 -1.80000e+01
1332 -1.70000e+01
1386 -1.60000e+01
1479 -1.50000e+01
1503 -1.40000e+01
1548 -1.30000e+01
1615 -1.20000e+01
1643 -1.00000e+01
1666 -9.00000e+00
1683 -8.00000e+00
1806 -7.00000e+00
1937 -6.00000e+00
2342 -5.00000e+00
2361 -4.00000e+00
2805 -3.00000e+00
3228 -2.00000e+00
3500 -1.00000e+00
3547 +4.89000e+02
4047 +4.91000e+02
5142 +5.01000e+02
5204 +5.11000e+02
6752 +5.19000e+02
7438 +5.20000e+02
9991 +5.20000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
54 -4.80000e+01
91 -4.70000e+01
138 -4.50000e+01
143 -4.40000e+01
185 -4.30000e+01
250 -4.20000e+01
269 -4.10000e+01
294 -4.00000e+01
433 -3.90000e+01
480 -3.80000e+01
522 -3.70000e+01
530 -3.60000e+01
578 -3.50000e+01
603 -3.40000e+01
667 -3.30000e+01
723 -3.20000e+01
798 -3.10000e+01
830 -3.00000e+01
921 -2.90000e+01
966 -2.80000e+01
977 -2.70000e+01
1007 -2.60000e+01
1011 -2.50000e+01
1018 -2.40000e+01
1036 -2.30000e+01
1059 -2.20000e+01
1155 -2.10000e+01
1205 -2.00000e+01
1244 -1.90000e+01
1279 -1.80000e+01
1358 -1.70000e+01
1416 -1.60000e+01
1458 -1.50000e+01
1462 -1.40000e+01
1531 -1.30000e+01
1638 -1.20000e+01
1699 -1.10000e+01
1725 -1.00000e+01
1878 -9.00000e+00
1953 -8.00000e+00
2223 -7.00000e+00
2283 -6.00000e+00
2390 -5.00000e+00
2509 -4.00000e+00
2641 -3.00000e+00
2732 -2.00000e+00
2789 -1.00000e+00
2805 +4.98000e+02
3870 +5.02000e+02
4602 +5.13000e+02
5234 +5.21000e+02
5296 +5.25000e+02
5337 +5.37000e+02
9991 +5.37000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
10 -4.70000e+01
34 -4.60000e+01
55 -4.50000e+01
62 -4.40000e+01
84 -4.30000e+01
118 -4.20000e+01
137 -4.10000e+01
178 -4.00000e+01
194 -3.90000e+01
229 -3.80000e+01
296 -3.70000e+01
348 -3.60000e+01
374 -3.50000e+01
409 -3.40000e+01
432 -3.30000e+01
472 -3.20000e+01
503 -3.10000e+01
516 -3.00000e+01
550 -2.90000e+01
580 -2.80000e+01
593 -2.70000e+01
655 -2.60000e+01
667 -2.50000e+01
730 -2.40000e+01
804 -2.30000e+01
823 -2.20000e+01
868 -2.10000e+01
925 -2.00000e+01
1009 -1.90000e+01
1098 -1.80000e+01
1140 -1.70000e+01
1185 -1.60000e+01
1207 -1.50000e+01
1282 -1.40000e+01
1383 -1.30000e+01
1623 -1.20000e+01
1732 -1.10000e+01
1780 -1.00000e+01
1862 -9.00000e+00
1893 -8.00000e+00
1906 -7.00000e+00
1934 -6.00000e+00
2000 -5.00000e+00
2433 -4.00000e+00
