"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
56 -4.80000e+01
128 -4.70000e+01
237 -4.60000e+01
275 -4.50000e+01
362 -4.40000e+01
376 -4.30000e+01
415 -4.20000e+01
416 -4.10000e+01
538 -4.00000e+01
541 -3.80000e+01
567 -3.70000e+01
610 -3.60000e+01
642 -3.50000e+01
665 -3.40000e+01
702 -3.30000e+01
756 -3.20000e+01
807 -3.10000e+01
855 -3.00000e+01
920 -2.90000e+01
1084 -2.80000e+01
1120 -2.70000e+01
1202 -2.60000e+01
1228 -2.50000e+01
1264 -2.40000e+01
1306 -2.30000e+01
1447 -2.20000e+01
1535 -2.10000e+01
1577 -2.00000e+01
1677 -1.90000e+01
1835 -1.80000e+01
2104 -1.70000e+01
2131 -1.60000e+01
2237 -1.50000e+01
2331 -1.40000e+01
2380 -1.30000e+01
2414 -1.20000e+01
2481 -1.10000e+01
2551 -1.00000e+01
2675 -9.00000e+00
2796 -8.00000e+00
2849 -7.00000e+00
3055 -6.00000e+00
3151 -5.00000e+00
3253 -4.00000e+00
3427 -3.00000e+00
4228 -2.00000e+00
4495 -1.00000e+00
4592 +4.72000e+02
4808 +4.82000e+02
5349 +4.89000e+02
5428 +4.96000e+02
5676 +4.97000e+02
6364 +5.11000e+02
6511 +5.12000e+02
7055 +5.17000e+02
7916 +5.19000e+02
8002 +5.20000e+02
8777 +5.21000e+02
9186 +5.26000e+02
9981 +5.26000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
11 -4.80000e+01
137 -4.70000e+01
147 -4.60000e+01
238 -4.50000e+01
250 -4.40000e+01
269 -4.30000e+01
433 -4.20000e+01
553 -4.10000e+01
642 -4.00000e+01
699 -3.90000e+01
975 -3.80000e+01
1112 -3.70000e+01
1114 -3.60000e+01
1208 -3.50000e+01
1238 -3.40000e+01
1272 -3.30000e+01
1299 -3.20000e+01
1326 -3.00000e+01
1426 -2.90000e+01
1512 -2.80000e+01
1589 -2.70000e+01
1777 -2.60000e+01
1870 -2.50000e+01
1945 -2.40000e+01
2014 -2.30000e+01
2184 -2.20000e+01
2330 -2.10000e+01
2392 -2.00000e+01
2451 -1.80000e+01
2476 -1.60000e+01
2691 -1.50000e+01
2797 -1.40000e+01
2974 -1.30000e+01
3010 -1.20000e+01
3024 -1.10000e+01
3145 -1.00000e+01
3403 -9.00000e+00
3481 -8.00000e+00
3829 -7.00000e+00
4127 -6.00000e+00
4386 -5.00000e+00
4550 -4.00000e+00
4620 -3.00000e+00
5080 -2.00000e+00
5253 -1.00000e+00
5432 +4.66000e+02
5514 +4.74000e+02
5559 +4.92000e+02
5678 +4.96000e+02
5791 +5.02000e+02
6142 +5.10000e+02
6420 +5.15000e+02
7911 +5.20000e+02
9981 +5.20000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
4 -4.80000e+01
26 -4.70000e+01
213 -4.60000e+01
241 -4.50000e+01
288 -4.40000e+01
325 -4.30000e+01
425 -4.20000e+01
435 -4.10000e+01
509 -4.00000e+01
549 -3.90000e+01
551 -3.80000e+01
640 -3.70000e+01
672 -3.60000e+01
720 -3.50000e+01
884 -3.30000e+01
896 -3.20000e+01
968 -3.10000e+01
1049 -3.00000e+01
1131 -2.90000e+01
1425 -2.80000e+01
1445 -2.70000e+01
1569 -2.60000e+01
1661 -2.50000e+01
1672 -2.40000e+01
1777 -2.30000e+01
1830 -2.20000e+01
1987 -2.10000e+01
2100 -2.00000e+01
2129 -1.90000e+01
2245 -1.80000e+01
2456 -1.70000e+01
2476 -1.60000e+01
2557 -1.50000e+01
2921 -1.40000e+01
3110 -1.30000e+01
3222 -1.20000e+01
3297 -1.10000e+01
3490 -1.00000e+01
3593 -9.00000e+00
3782 -8.00000e+00
3946 -7.00000e+00
4413 -6.00000e+00
4643 -5.00000e+00
4770 -4.00000e+00
4810 -3.00000e+00
5011 -2.00000e+00
5081 -1.00000e+00
5214 +4.92000e+02
5296 +5.01000e+02
5906 +5.03000e+02
6220 +5.06000e+02
6956 +5.07000e+02
7200 +5.16000e+02
8225 +5.20000e+02
8454 +5.27000e+02
9956 +5.31000e+02
9981 +5.31000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
26 -4.80000e+01
83 -4.70000e+01
103 -4.60000e+01
154 -4.50000e+01
220 -4.40000e+01
266 -4.30000e+01
301 -4.20000e+01
308 -4.10000e+01
352 -4.00000e+01
362 -3.90000e+01
403 -3.70000e+01
510 -3.60000e+01
580 -3.50000e+01
599 -3.30000e+01
677 -3.20000e+01
788 -3.10000e+01
850 -3.00000e+01
914 -2.90000e+01
1064 -2.80000e+01
1106 -2.70000e+01
1115 -2.60000e+01
1211 -2.50000e+01
1224 -2.40000e+01
1313 -2.30000e+01
1530 -2.20000e+01
1608 -2.10000e+01
1657 -2.00000e+01
1821 -1.90000e+01
1919 -1.80000e+01
2018 -1.70000e+01
2530 -1.60000e+01
2575 -1.40000e+01
2688 -1.30000e+01
3270 -1.20000e+01
3593 -1.10000e+01
3627 -1.00000e+01
3755 -9.00000e+00
3998 -8.00000e+00
4079 -7.00000e+00
4375 -6.00000e+00
4469 -5.00000e+00
4864 -4.00000e+00
4866 -3.00000e+00
5164 -2.00000e+00
5261 -1.00000e+00
5552 +4.91000e+02
6047 +5.05000e+02
6056 +5.06000e+02
6148 +5.07000e+02
6733 +5.08000e+02
6974 +5.23000e+02
8251 +5.24000e+02
9258 +5.30000e+02
9981 +5.30000e+02
