"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
2 -4.80000e+01
89 -4.70000e+01
97 -4.60000e+01
496 -4.50000e+01
501 -4.40000e+01
571 -4.30000e+01
635 -4.20000e+01
737 -4.10000e+01
942 -4.00000e+01
1011 -3.90000e+01
1044 -3.80000e+01
1161 -3.70000e+01
1303 -3.60000e+01
1443 -3.50000e+01
1533 -3.40000e+01
1559 -3.30000e+01
1609 -3.10000e+01
1768 -3.00000e+01
1930 -2.90000e+01
1996 -2.80000e+01
2078 -2.70000e+01
2192 -2.60000e+01
2290 -2.40000e+01
2303 -2.30000e+01
2326 -2.20000e+01
2362 -2.00000e+01
2450 -1.90000e+01
2843 -1.80000e+01
2892 -1.70000e+01
2963 -1.60000e+01
3172 -1.50000e+01
3343 -1.40000e+01
3662 -1.30000e+01
3755 -1.20000e+01
4030 -1.10000e+01
4234 -1.00000e+01
4329 -9.00000e+00
4440 -8.00000e+00
4714 -7.00000e+00
4807 -6.00000e+00
5091 -5.00000e+00
5219 -4.00000e+00
5776 -3.00000e+00
6218 -2.00000e+00
6469 -1.00000e+00
6616 +4.65000e+02
7145 +4.86000e+02
7497 +4.87000e+02
7779 +5.03000e+02
7909 +5.06000e+02
8217 +5.08000e+02
8317 +5.09000e+02
8332 +5.11000e+02
8384 +5.13000e+02
8755 +5.25000e+02
9724 +5.31000e+02
9951 +5.31000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
19 -4.80000e+01
78 -4.70000e+01
115 -4.60000e+01
241 -4.50000e+01
303 -4.30000e+01
352 -4.20000e+01
545 -4.10000e+01
644 -4.00000e+01
767 -3.90000e+01
824 -3.80000e+01
857 -3.70000e+01
1058 -3.60000e+01
1255 -3.50000e+01
1349 -3.40000e+01
1395 -3.30000e+01
1604 -3.20000e+01
1689 -3.10000e+01
1720 -3.00000e+01
1862 -2.90000e+01
1960 -2.80000e+01
1977 -2.70000e+01
2143 -2.60000e+01
2269 -2.40000e+01
2410 -2.30000e+01
2457 -2.20000e+01
2741 -2.10000e+01
2848 -2.00000e+01
3040 -1.90000e+01
3183 -1.80000e+01
3546 -1.70000e+01
3958 -1.50000e+01
4246 -1.40000e+01
4342 -1.30000e+01
4495 -1.20000e+01
4557 -1.10000e+01
4596 -1.00000e+01
4996 -9.00000e+00
5190 -8.00000e+00
5763 -7.00000e+00
6325 -6.00000e+00
6502 -5.00000e+00
6642 -4.00000e+00
6789 -3.00000e+00
7649 -2.00000e+00
7761 -1.00000e+00
8286 +4.67000e+02
8332 +4.88000e+02
8816 +5.04000e+02
9542 +5.05000e+02
9566 +5.10000e+02
9951 +5.10000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
25 -4.80000e+01
43 -4.70000e+01
206 -4.60000e+01
309 -4.50000e+01
413 -4.40000e+01
585 -4.30000e+01
657 -4.20000e+01
697 -4.10000e+01
807 -4.00000e+01
953 -3.90000e+01
1056 -3.80000e+01
1177 -3.70000e+01
1224 -3.60000e+01
1521 -3.50000e+01
1623 -3.40000e+01
1737 -3.30000e+01
1883 -3.20000e+01
1932 -3.10000e+01
1967 -3.00000e+01
2017 -2.90000e+01
2089 -2.80000e+01
2259 -2.70000e+01
2337 -2.60000e+01
2513 -2.50000e+01
2696 -2.40000e+01
2772 -2.30000e+01
3051 -2.20000e+01
3099 -2.10000e+01
3100 -2.00000e+01
3391 -1.90000e+01
3512 -1.80000e+01
4180 -1.70000e+01
4365 -1.60000e+01
4616 -1.50000e+01
4823 -1.40000e+01
4863 -1.30000e+01
4931 -1.20000e+01
5089 -1.10000e+01
5733 -1.00000e+01
6049 -9.00000e+00
6157 -8.00000e+00
6216 -7.00000e+00
6528 -6.00000e+00
7195 -4.00000e+00
7373 -3.00000e+00
7435 -2.00000e+00
7527 -1.00000e+00
7984 +4.49000e+02
8055 +4.52000e+02
8304 +4.57000e+02
8369 +4.65000e+02
8569 +4.68000e+02
8868 +4.71000e+02
8980 +4.77000e+02
9364 +4.79000e+02
9514 +4.82000e+02
9951 +4.82000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
5 -4.80000e+01
87 -4.70000e+01
254 -4.60000e+01
343 -4.50000e+01
439 -4.40000e+01
594 -4.30000e+01
779 -4.20000e+01
919 -4.10000e+01
1036 -4.00000e+01
1150 -3.90000e+01
1169 -3.80000e+01
1293 -3.70000e+01
1389 -3.60000e+01
1506 -3.50000e+01
1636 -3.40000e+01
1683 -3.30000e+01
1702 -3.20000e+01
1797 -3.10000e+01
1997 -3.00000e+01
2268 -2.90000e+01
2345 -2.80000e+01
2564 -2.70000e+01
2740 -2.50000e+01
2893 -2.40000e+01
3062 -2.30000e+01
3280 -2.20000e+01
3287 -2.10000e+01
3397 -2.00000e+01
3511 -1.90000e+01
3743 -1.80000e+01
3777 -1.70000e+01
3907 -1.60000e+01
4273 -1.50000e+01
4327 -1.40000e+01
4728 -1.30000e+01
4891 -1.20000e+01
5300 -1.10000e+01
5601 -1.00000e+01
5876 -9.00000e+00
6098 -7.00000e+00
6269 -6.00000e+00
6506 -5.00000e+00
6763 -4.00000e+00
7803 -3.00000e+00
8303 -2.00000e+00
8398 -1.00000e+00
9041 +4.46000e+02
9281 +4.49000e+02
9545 +4.63000e+02
9951 +4.63000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
16 -4.80000e+01
36 -4.70000e+01
163 -4.60000e+01
254 -4.50000e+01
370 -4.40000e+01
471 -4.30000e+01
591 -4.20000e+01
749 -4.10000e+01
828 -4.00000e+01
839 -3.90000e+01
975 -3.80000e+01
1003 -3.70000e+01
1147 -3.60000e+01
1218 -3.50000e+01
1241 -3.40000e+01
1364 -3.20000e+01
1418 -3.10000e+01
1472 -3.00000e+01
1509 -2.90000e+01
1662 -2.80000e+01
1741 -2.70000e+01
1749 -2.60000e+01
1809 -2.50000e+01
2144 -2.40000e+01
2335 -2.30000e+01
2579 -2.20000e+01
2642 -2.10000e+01
2855 -2.00000e+01
2941 -1.90000e+01
3161 -1.80000e+01
3211 -1.70000e+01
3571 -1.60000e+01
3982 -1.50000e+01
4118 -1.40000e+01
4190 -1.20000e+01
4312 -1.10000e+01
4447 -1.00000e+01
4770 -9.00000e+00
5092 -8.00000e+00
5148 -7.00000e+00
5176 -6.00000e+00
5460 -5.00000e+00
5557 -4.00000e+00
5787 -3.00000e+00
5902 -2.00000e+00
6158 -1.00000e+00
6393 +5.14000e+02
7399 +5.32000e+02
7636 +5.38000e+02
9951 +5.38000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
32 -4.70000e+01
70 -4.50000e+01
86 -4.40000e+01
153 -4.30000e+01
242 -4.20000e+01
580 -4.10000e+01
621 -4.00000e+01
857 -3.90000e+01
939 -3.80000e+01
1096 -3.70000e+01
1176 -3.60000e+01
1355 -3.50000e+01
1383 -3.40000e+01
1468 -3.30000e+01
1471 -3.20000e+01
1555 -3.10000e+01
1666 -3.00000e+01
1782 -2.90000e+01
1880 -2.80000e+01
1960 -2.70000e+01
2047 -2.60000e+01
2208 -2.50000e+01
2475 -2.40000e+01
2553 -2.30000e+01
2654 -2.20000e+01
2733 -2.10000e+01
2829 -2.00000e+01
3007 -1.90000e+01
3222 -1.80000e+01
3315 -1.70000e+01
3370 -1.60000e+01
3630 -1.50000e+01
3836 -1.40000e+01
4209 -1.30000e+01
4302 -1.20000e+01
4453 -1.10000e+01
4563 -1.00000e+01
4718 -9.00000e+00
4992 -8.00000e+00
5072 -7.00000e+00
5095 -6.00000e+00
