"function evaluation" "best-so-far f(x)"
1471 -3.80000e+01
1562 -3.70000e+01
1629 -3.60000e+01
1730 -3.50000e+01
1819 -3.40000e+01
1980 -3.30000e+01
2014 -3.20000e+01
2248 -3.10000e+01
2695 -3.00000e+01
3514 -2.90000e+01
3527 -2.80000e+01
3545 -2.70000e+01
3557 -2.60000e+01
3671 -2.50000e+01
4038 -2.40000e+01
4727 -2.30000e+01
5821 -2.20000e+01
5870 -2.10000e+01
6157 -2.00000e+01
6269 -1.90000e+01
6905 -1.80000e+01
6962 -1.70000e+01
7226 -1.60000e+01
7499 -1.50000e+01
7513 -1.40000e+01
7729 -1.30000e+01
8143 -1.20000e+01
8312 -1.10000e+01
8889 -1.00000e+01
9078 -9.00000e+00
9183 -8.00000e+00
9371 -7.00000e+00
9981 -7.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
9 -4.80000e+01
18 -4.70000e+01
202 -4.60000e+01
376 -4.50000e+01
580 -4.40000e+01
641 -4.30000e+01
1135 -4.20000e+01
1497 -4.10000e+01
1525 -4.00000e+01
1657 -3.90000e+01
1873 -3.80000e+01
2059 -3.60000e+01
2072 -3.50000e+01
2309 -3.40000e+01
2966 -3.30000e+01
3099 -3.20000e+01
3131 -3.10000e+01
3143 -3.00000e+01
3489 -2.90000e+01
3506 -2.80000e+01
3922 -2.70000e+01
3989 -2.60000e+01
4130 -2.50000e+01
4188 -2.40000e+01
5483 -2.30000e+01
5954 -2.20000e+01
6307 -2.10000e+01
6727 -2.00000e+01
7006 -1.90000e+01
7256 -1.80000e+01
7442 -1.70000e+01
7518 -1.60000e+01
8424 -1.50000e+01
8429 -1.40000e+01
8942 -1.30000e+01
9346 -1.20000e+01
9439 -1.10000e+01
9981 -1.10000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
146 -4.80000e+01
286 -4.70000e+01
293 -4.60000e+01
369 -4.50000e+01
488 -4.40000e+01
814 -4.30000e+01
1148 -4.20000e+01
1436 -4.10000e+01
1539 -4.00000e+01
1578 -3.90000e+01
1764 -3.80000e+01
2090 -3.70000e+01
2196 -3.60000e+01
2220 -3.50000e+01
2510 -3.40000e+01
2563 -3.30000e+01
2824 -3.20000e+01
3175 -3.10000e+01
3208 -3.00000e+01
3247 -2.90000e+01
3285 -2.80000e+01
3365 -2.70000e+01
3418 -2.60000e+01
3835 -2.50000e+01
4233 -2.40000e+01
4525 -2.30000e+01
4974 -2.20000e+01
5821 -2.10000e+01
5832 -2.00000e+01
6494 -1.90000e+01
6523 -1.80000e+01
6897 -1.70000e+01
7345 -1.60000e+01
7462 -1.50000e+01
7549 -1.40000e+01
8031 -1.30000e+01
8232 -1.20000e+01
8373 -1.10000e+01
8628 -1.00000e+01
9340 -9.00000e+00
9639 -8.00000e+00
9981 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
4 -4.70000e+01
165 -4.50000e+01
269 -4.40000e+01
398 -4.20000e+01
563 -4.10000e+01
614 -4.00000e+01
730 -3.90000e+01
985 -3.80000e+01
1326 -3.70000e+01
1370 -3.60000e+01
1547 -3.50000e+01
1615 -3.40000e+01
1783 -3.30000e+01
1833 -3.10000e+01
2176 -3.00000e+01
2383 -2.90000e+01
2679 -2.80000e+01
2761 -2.70000e+01
2769 -2.60000e+01
2830 -2.40000e+01
2845 -2.30000e+01
3899 -2.20000e+01
4136 -2.10000e+01
4169 -2.00000e+01
4351 -1.90000e+01
4875 -1.80000e+01
4951 -1.70000e+01
5477 -1.60000e+01
5624 -1.50000e+01
5830 -1.40000e+01
5890 -1.30000e+01
6178 -1.20000e+01
6243 -1.10000e+01
6625 -1.00000e+01
6697 -9.00000e+00
7425 -8.00000e+00
7784 -7.00000e+00
7989 -6.00000e+00
8419 -5.00000e+00
8653 -4.00000e+00
9478 -3.00000e+00
9933 -2.00000e+00
9981 -2.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
12 -4.80000e+01
50 -4.70000e+01
130 -4.60000e+01
217 -4.50000e+01
263 -4.40000e+01
274 -4.30000e+01
311 -4.20000e+01
321 -4.10000e+01
538 -4.00000e+01
630 -3.90000e+01
665 -3.80000e+01
1281 -3.70000e+01
1368 -3.60000e+01
1707 -3.50000e+01
1870 -3.40000e+01
2027 -3.30000e+01
2151 -3.20000e+01
2167 -3.10000e+01
2569 -3.00000e+01
2623 -2.90000e+01
2937 -2.80000e+01
2951 -2.70000e+01
3223 -2.60000e+01
3273 -2.50000e+01
3380 -2.40000e+01
3858 -2.30000e+01
3975 -2.20000e+01
4597 -2.10000e+01
5019 -2.00000e+01
5343 -1.90000e+01
5579 -1.80000e+01
5976 -1.70000e+01
6825 -1.60000e+01
6963 -1.50000e+01
6994 -1.40000e+01
7279 -1.30000e+01
7452 -1.20000e+01
8798 -1.10000e+01
9114 -1.00000e+01
9296 -9.00000e+00
9375 -8.00000e+00
9981 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
33 -4.80000e+01
114 -4.70000e+01
201 -4.60000e+01
245 -4.50000e+01
286 -4.40000e+01
521 -4.30000e+01
564 -4.20000e+01
620 -4.10000e+01
1011 -3.90000e+01
1213 -3.80000e+01
1477 -3.70000e+01
1585 -3.60000e+01
1612 -3.50000e+01
1842 -3.40000e+01
2068 -3.30000e+01
2098 -3.20000e+01
2138 -3.10000e+01
2696 -3.00000e+01
2767 -2.90000e+01
3113 -2.80000e+01
3193 -2.70000e+01
3719 -2.60000e+01
3844 -2.50000e+01
4260 -2.40000e+01
4490 -2.30000e+01
4581 -2.20000e+01
4745 -2.10000e+01
5060 -2.00000e+01
5202 -1.90000e+01
5509 -1.80000e+01
5534 -1.70000e+01
6023 -1.50000e+01
6264 -1.40000e+01
6316 -1.30000e+01
7868 -1.20000e+01
8117 -1.10000e+01
8407 -1.00000e+01
8628 -9.00000e+00
8749 -8.00000e+00
8857 -7.00000e+00
8982 -6.00000e+00
9252 -5.00000e+00
9981 -5.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
31 -4.80000e+01
96 -4.70000e+01
240 -4.60000e+01
277 -4.50000e+01
489 -4.40000e+01
642 -4.30000e+01
790 -4.20000e+01
992 -4.10000e+01
1385 -4.00000e+01
1504 -3.90000e+01
1677 -3.80000e+01
2009 -3.70000e+01
2154 -3.60000e+01
2399 -3.50000e+01
2407 -3.40000e+01
2705 -3.30000e+01
2755 -3.10000e+01
3080 -3.00000e+01
3893 -2.90000e+01
3995 -2.80000e+01
4283 -2.70000e+01
4390 -2.50000e+01
4536 -2.40000e+01
4969 -2.30000e+01
5001 -2.20000e+01
5094 -2.10000e+01
5307 -2.00000e+01
5841 -1.90000e+01
5875 -1.80000e+01
5989 -1.70000e+01
6110 -1.60000e+01
6405 -1.50000e+01
6783 -1.40000e+01
6873 -1.30000e+01
7589 -1.20000e+01
7794 -1.10000e+01
7974 -1.00000e+01
8248 -9.00000e+00
8330 -8.00000e+00
9527 -7.00000e+00
9741 -6.00000e+00
9981 -6.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
68 -4.80000e+01
142 -4.70000e+01
216 -4.60000e+01
343 -4.50000e+01
475 -4.40000e+01
476 -4.30000e+01
863 -4.20000e+01
865 -4.10000e+01
1168 -4.00000e+01
1519 -3.90000e+01
1600 -3.80000e+01
1682 -3.70000e+01
1978 -3.60000e+01
2092 -3.50000e+01
2122 -3.40000e+01
2277 -3.20000e+01
2790 -3.10000e+01
2850 -3.00000e+01
2969 -2.90000e+01
3089 -2.70000e+01
3282 -2.60000e+01
3449 -2.50000e+01
3499 -2.40000e+01
3928 -2.30000e+01
4633 -2.20000e+01
4934 -2.10000e+01
4951 -2.00000e+01
4968 -1.90000e+01
5018 -1.80000e+01
5151 -1.70000e+01
5236 -1.60000e+01
6070 -1.50000e+01
6413 -1.40000e+01
6427 -1.30000e+01
6592 -1.20000e+01
6872 -1.10000e+01
6903 -1.00000e+01
7781 -9.00000e+00
7841 -8.00000e+00
7922 -7.00000e+00
8883 -6.00000e+00
8958 -5.00000e+00
9981 -5.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
54 -4.80000e+01
88 -4.70000e+01
124 -4.60000e+01
488 -4.50000e+01
638 -4.40000e+01
881 -4.30000e+01
1039 -4.20000e+01
1115 -4.10000e+01
1279 -4.00000e+01
1304 -3.90000e+01
1327 -3.80000e+01
1348 -3.70000e+01
1722 -3.60000e+01
1916 -3.50000e+01
2114 -3.40000e+01
2364 -3.30000e+01
2511 -3.20000e+01
2592 -3.10000e+01
2847 -3.00000e+01
3288 -2.90000e+01
3297 -2.80000e+01
3324 -2.70000e+01
3627 -2.60000e+01
3741 -2.50000e+01
4061 -2.40000e+01
4076 -2.30000e+01
4571 -2.20000e+01
4746 -2.10000e+01
4870 -2.00000e+01
4876 -1.90000e+01
4946 -1.80000e+01
5006 -1.70000e+01
5290 -1.60000e+01
5660 -1.50000e+01
5692 -1.40000e+01
6230 -1.30000e+01
6631 -1.20000e+01
6714 -1.10000e+01
7107 -1.00000e+01
7410 -9.00000e+00
7611 -8.00000e+00
7879 -7.00000e+00
8219 -6.00000e+00
8328 -5.00000e+00
9453 -3.00000e+00
9556 -2.00000e+00
9981 -2.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
13 -4.80000e+01
102 -4.70000e+01
230 -4.60000e+01
304 -4.50000e+01
506 -4.40000e+01
521 -4.30000e+01
559 -4.20000e+01
627 -4.10000e+01
694 -4.00000e+01
711 -3.90000e+01
846 -3.80000e+01
1086 -3.70000e+01
1310 -3.60000e+01
1480 -3.50000e+01
2016 -3.40000e+01
2286 -3.30000e+01
2328 -3.20000e+01
2400 -3.10000e+01
2558 -2.90000e+01
2636 -2.80000e+01
2934 -2.70000e+01
3453 -2.60000e+01
3818 -2.50000e+01
4061 -2.40000e+01
4242 -2.30000e+01
4621 -2.20000e+01
4913 -2.10000e+01
5043 -2.00000e+01
5178 -1.90000e+01
5252 -1.80000e+01
5457 -1.70000e+01
5682 -1.60000e+01
5947 -1.50000e+01
6343 -1.40000e+01
6702 -1.30000e+01
7094 -1.20000e+01
7250 -1.10000e+01
8908 -1.00000e+01
9537 -9.00000e+00
9981 -9.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
39 -4.80000e+01
98 -4.70000e+01
286 -4.60000e+01
344 -4.50000e+01
390 -4.40000e+01
395 -4.30000e+01
427 -4.20000e+01
583 -4.10000e+01
772 -4.00000e+01
1106 -3.90000e+01
1323 -3.80000e+01
1412 -3.70000e+01
1513 -3.60000e+01
1772 -3.50000e+01
1904 -3.40000e+01
1953 -3.30000e+01
2060 -3.20000e+01
2098 -3.10000e+01
2357 -2.90000e+01
2548 -2.80000e+01
2583 -2.70000e+01
2848 -2.60000e+01
2929 -2.50000e+01
3208 -2.40000e+01
3262 -2.30000e+01
3449 -2.20000e+01
4284 -2.10000e+01
4453 -1.90000e+01
5480 -1.80000e+01
6128 -1.70000e+01
6225 -1.60000e+01
6374 -1.50000e+01
6425 -1.40000e+01
6429 -1.30000e+01
7072 -1.20000e+01
7705 -1.10000e+01
9324 -1.00000e+01
9981 -1.00000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
62 -4.80000e+01
95 -4.70000e+01
237 -4.60000e+01
306 -4.50000e+01
332 -4.30000e+01
490 -4.20000e+01
510 -4.10000e+01
939 -4.00000e+01
1052 -3.90000e+01
1259 -3.80000e+01
1521 -3.70000e+01
1593 -3.60000e+01
1773 -3.50000e+01
1921 -3.40000e+01
2013 -3.30000e+01
2057 -3.20000e+01
2387 -3.10000e+01
2515 -3.00000e+01
2573 -2.90000e+01
2687 -2.80000e+01
2825 -2.70000e+01
3255 -2.60000e+01
3282 -2.50000e+01
3515 -2.40000e+01
3637 -2.30000e+01
3672 -2.20000e+01
4721 -2.10000e+01
4767 -2.00000e+01
4804 -1.90000e+01
4854 -1.80000e+01
5105 -1.70000e+01
5191 -1.60000e+01
