"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
21 -4.80000e+01
230 -4.70000e+01
386 -4.60000e+01
554 -4.50000e+01
816 -4.40000e+01
1145 -4.30000e+01
1390 -4.20000e+01
1884 -4.10000e+01
2224 -4.00000e+01
2353 -3.90000e+01
2422 -3.80000e+01
3317 -3.70000e+01
3848 -3.60000e+01
4229 -3.50000e+01
4246 -3.40000e+01
4479 -3.30000e+01
5654 -3.20000e+01
7232 -3.10000e+01
8274 -3.00000e+01
8724 -2.90000e+01
8805 -2.80000e+01
9311 -2.60000e+01
9764 -2.50000e+01
9951 -2.50000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
16 -4.80000e+01
97 -4.70000e+01
407 -4.60000e+01
430 -4.50000e+01
776 -4.40000e+01
1231 -4.30000e+01
1456 -4.20000e+01
1976 -4.10000e+01
2062 -4.00000e+01
2692 -3.90000e+01
3152 -3.80000e+01
3502 -3.70000e+01
3726 -3.60000e+01
4591 -3.50000e+01
5080 -3.40000e+01
5084 -3.30000e+01
5284 -3.20000e+01
6237 -3.10000e+01
6442 -3.00000e+01
8914 -2.90000e+01
8942 -2.80000e+01
9045 -2.70000e+01
9617 -2.60000e+01
9682 -2.50000e+01
9951 -2.50000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
65 -4.80000e+01
231 -4.70000e+01
316 -4.60000e+01
480 -4.50000e+01
821 -4.40000e+01
893 -4.30000e+01
1056 -4.20000e+01
1716 -4.10000e+01
1731 -4.00000e+01
2425 -3.90000e+01
2809 -3.80000e+01
3066 -3.70000e+01
3107 -3.60000e+01
3420 -3.50000e+01
3524 -3.40000e+01
3552 -3.30000e+01
3958 -3.20000e+01
4428 -3.10000e+01
5002 -3.00000e+01
6264 -2.90000e+01
7132 -2.80000e+01
7138 -2.70000e+01
7551 -2.60000e+01
7931 -2.50000e+01
9193 -2.40000e+01
9951 -2.40000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
11 -4.80000e+01
34 -4.70000e+01
131 -4.60000e+01
137 -4.50000e+01
834 -4.40000e+01
1076 -4.30000e+01
1124 -4.20000e+01
1215 -4.10000e+01
1751 -4.00000e+01
1919 -3.90000e+01
3040 -3.80000e+01
3791 -3.70000e+01
4218 -3.60000e+01
4354 -3.50000e+01
4853 -3.40000e+01
4968 -3.30000e+01
6242 -3.20000e+01
6508 -3.10000e+01
6630 -3.00000e+01
6708 -2.90000e+01
7356 -2.80000e+01
7397 -2.70000e+01
8243 -2.60000e+01
8629 -2.50000e+01
8750 -2.40000e+01
9057 -2.30000e+01
9951 -2.30000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
23 -4.70000e+01
162 -4.60000e+01
328 -4.50000e+01
656 -4.40000e+01
682 -4.30000e+01
803 -4.20000e+01
1188 -4.10000e+01
1332 -4.00000e+01
1943 -3.90000e+01
2033 -3.80000e+01
3034 -3.70000e+01
3423 -3.60000e+01
3633 -3.50000e+01
4227 -3.40000e+01
5129 -3.30000e+01
5924 -3.20000e+01
6051 -3.10000e+01
6577 -3.00000e+01
8327 -2.80000e+01
8883 -2.70000e+01
9824 -2.60000e+01
9951 -2.60000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
51 -4.80000e+01
289 -4.70000e+01
493 -4.60000e+01
1096 -4.50000e+01
1373 -4.40000e+01
1426 -4.30000e+01
1515 -4.20000e+01
2386 -4.10000e+01
2475 -4.00000e+01
2640 -3.90000e+01
3988 -3.80000e+01
4364 -3.70000e+01
4440 -3.60000e+01
4487 -3.50000e+01
4729 -3.40000e+01
5482 -3.30000e+01
6817 -3.20000e+01
7714 -3.10000e+01
8282 -3.00000e+01
8539 -2.90000e+01
8723 -2.80000e+01
9328 -2.70000e+01
9546 -2.50000e+01
9951 -2.50000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
2 -4.80000e+01
258 -4.70000e+01
448 -4.60000e+01
751 -4.50000e+01
946 -4.40000e+01
1493 -4.20000e+01
1787 -4.10000e+01
2401 -4.00000e+01
2570 -3.90000e+01
3655 -3.80000e+01
3899 -3.70000e+01
4163 -3.60000e+01
4383 -3.50000e+01
5147 -3.40000e+01
5920 -3.30000e+01
6335 -3.20000e+01
6564 -3.10000e+01
8044 -3.00000e+01
8218 -2.90000e+01
8438 -2.80000e+01
8602 -2.70000e+01
9097 -2.60000e+01
9312 -2.50000e+01
9951 -2.50000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
2 -4.80000e+01
63 -4.70000e+01
143 -4.60000e+01
161 -4.50000e+01
349 -4.40000e+01
508 -4.30000e+01
756 -4.20000e+01
780 -4.10000e+01
1389 -4.00000e+01
1513 -3.90000e+01
2287 -3.80000e+01
2305 -3.70000e+01
2894 -3.60000e+01
2966 -3.50000e+01
3036 -3.40000e+01
3415 -3.30000e+01
4411 -3.20000e+01
4458 -3.10000e+01
4541 -3.00000e+01
4860 -2.90000e+01
5058 -2.80000e+01
5608 -2.70000e+01
5980 -2.60000e+01
6925 -2.50000e+01
7153 -2.40000e+01
7570 -2.30000e+01
7963 -2.20000e+01
8005 -2.10000e+01
9120 -2.00000e+01
9687 -1.90000e+01
9951 -1.90000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
31 -4.80000e+01
197 -4.70000e+01
393 -4.60000e+01
470 -4.50000e+01
568 -4.40000e+01
750 -4.30000e+01
806 -4.20000e+01
1070 -4.10000e+01
1693 -4.00000e+01
1736 -3.90000e+01
2622 -3.80000e+01
2717 -3.70000e+01
2868 -3.60000e+01
3799 -3.50000e+01
4563 -3.40000e+01
4959 -3.30000e+01
5469 -3.20000e+01
6110 -3.10000e+01
6737 -3.00000e+01
7316 -2.90000e+01
7654 -2.80000e+01
7981 -2.70000e+01
8487 -2.60000e+01
9912 -2.50000e+01
9951 -2.50000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
4 -4.80000e+01
121 -4.60000e+01
577 -4.50000e+01
792 -4.40000e+01
805 -4.30000e+01
1301 -4.20000e+01
1435 -4.10000e+01
1973 -4.00000e+01
2480 -3.90000e+01
2586 -3.80000e+01
3196 -3.70000e+01
3244 -3.60000e+01
3510 -3.40000e+01
3569 -3.30000e+01
3703 -3.20000e+01
3826 -3.10000e+01
6472 -3.00000e+01
7131 -2.90000e+01
7233 -2.80000e+01
7267 -2.70000e+01
8520 -2.60000e+01
9951 -2.60000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
9 -4.80000e+01
73 -4.70000e+01
291 -4.60000e+01
794 -4.50000e+01
940 -4.40000e+01
1059 -4.30000e+01
1160 -4.20000e+01
1537 -4.10000e+01
1692 -4.00000e+01
2172 -3.90000e+01
2736 -3.80000e+01
3158 -3.70000e+01
3415 -3.60000e+01
3620 -3.50000e+01
4609 -3.40000e+01
4670 -3.30000e+01
4998 -3.20000e+01
6489 -3.10000e+01
8707 -3.00000e+01
9129 -2.80000e+01
9489 -2.70000e+01
9664 -2.60000e+01
9951 -2.60000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
15 -4.80000e+01
100 -4.70000e+01
135 -4.60000e+01
463 -4.50000e+01
549 -4.30000e+01
1519 -4.20000e+01
2228 -4.10000e+01
2236 -4.00000e+01
2346 -3.90000e+01
2719 -3.80000e+01
2809 -3.70000e+01
3673 -3.60000e+01
4635 -3.50000e+01
6076 -3.40000e+01
6087 -3.30000e+01
